caseId,term,dateDecision,issue,issueArea,category,mappingStatus,sourceRelease,sourceRowSha256
1946-015,1946,12/9/1946,80320,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,e61a2f0a2178ec126823b7c7804fd3bfc8c5c466283b3692e24ef885d0e58ae1
1946-016,1946,12/9/1946,40070,4,OTHER,residual-area,SCDB_2025_01,b2e37e6366c9d82bbae70fe9e2b09c45a6ee81eb0617df7bd909fc22dad17557
1946-017,1946,12/16/1946,80100,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,735936808682d00765b3c727482934c9a628a26b5ccaed000abd7ec19ddac003
1946-018,1946,12/16/1946,80170,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,4f2288a95a24f979997b33a164fcfc60f12b7f449e5efc7d0c7aab0064060bd9
1946-019,1946,12/16/1946,120010,12,OTHER,residual-area,SCDB_2025_01,7c841bcb3768694ae647b024f2360a99bec1603132ba3d1520f8edf0b37fb427
1946-020,1946,12/23/1946,30130,3,SPEECH,issue-area,SCDB_2025_01,2c7635191066668018fe8005f0bd7350be8ab509fae449213c10767919c6c477
1946-021,1946,12/23/1946,30130,3,SPEECH,issue-area,SCDB_2025_01,4761454589207b60a7dc2e632647b8bf9fc88f8901ed09d8c1d668699fafb0ec
1946-022,1946,12/23/1946,70100,7,OTHER,residual-area,SCDB_2025_01,783d6e77c125c6e4dbb69324b7b8a4412950939b29e95512f4538bba56559669
1946-023,1946,12/23/1946,30130,3,SPEECH,issue-area,SCDB_2025_01,0fa9ac95dacb9e48fa3ebbc5ab083605444866412cd4592b8f19317f6c0a117e
1946-024,1946,12/23/1946,120030,12,OTHER,residual-area,SCDB_2025_01,90b8f34f0d9922fdae6a9936f44f73841ea716deb978965b3b529f10304a4a24
1946-025,1946,12/23/1946,10430,1,CRIMINAL_PROCEDURE,issue-area,SCDB_2025_01,7c15d1f402d080579fdcb865da44579e45d0d622e7c9f80a19e5a2d71be253fd
1946-026,1946,1/6/1947,80180,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,de92a91400b210923de18a016eff838cad33d220d820f2a1534bfab55d20886b
1946-027,1946,1/6/1947,80180,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,048c295b6de17b2d3c0155fb2e12698987a3980d3e817b013cb05cb0890a780d
1946-028,1946,1/6/1947,80100,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,69d853e8eabe9ea83b2d753f5ceb12893a008366a0e2381604a6cb8aab25f7d1
1946-029,1946,1/6/1947,80230,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,58863983671da44f058160268465b98f737f6507d55ed7320da59664c60035ed
1946-030,1946,1/6/1947,80110,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,00600ad951e23e0b83ba5c117b181d250106fc71a60a4e27360d8a4ab8225e44
1946-031,1946,1/6/1947,80120,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,788a5c3157f7216fdaf00ecdaf0f1258ea30b78a8566fda8490cd80fba8babf8
1946-032,1946,1/13/1947,80040,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,716f15f0a57b17b7158fbc733290f7cca2482f4319e337b3414db5b36806c28d
1946-033,1946,1/13/1947,10130,1,CRIMINAL_PROCEDURE,issue-area,SCDB_2025_01,e8ea6257ca4c645fdf1710e1d7b14cfaac9e3ab20845a514d193d753ec9a8255
1946-034,1946,1/13/1947,90110,9,OTHER,residual-area,SCDB_2025_01,66505c8869a26ddc0434899d8f90681406500be37a1502d5f42df7b98132f55f
1946-035,1946,1/13/1947,50040,5,EQUALITY,issue-area,SCDB_2025_01,315bd6ea20a55bc7e5557306f2ccb6fa00a03a1c0b5db53eb8fb6355bd8e3bd5
1946-036,1946,1/13/1947,90320,9,OTHER,residual-area,SCDB_2025_01,252bb22620c825cee1f4e8e4252defb710f0e9ab5c0b73e6b1022f6523dd57aa
1946-037,1946,1/20/1947,90120,9,ADMINISTRATIVE_STATE,explicit-issue,SCDB_2025_01,4cf4f6f353e4bfe6f9cf4947a4fe2508d4faf362f5211b610716bfcb7cc02a5c
1946-038,1946,1/20/1947,90120,9,ADMINISTRATIVE_STATE,explicit-issue,SCDB_2025_01,247b653aaab47e1a472bd7bcb1988fdbc5b42ec6c16b117186b11e4d69b72bfa
1946-039,1946,1/20/1947,110030,11,FEDERALISM,issue-area,SCDB_2025_01,e4cbc7cb090c8cd0e15c2b900a3de70685226c4565bbecd2a62c44edd3ecf662
1946-040,1946,1/20/1947,80030,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,1596e9bd82fd17213012eee0a7c976d69d0a963b5b0918afa285efa655af4797
1946-041,1946,1/20/1947,80060,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,b0bf0660ed963b2b39f1aeeb10c09564aea0e0aff151ab948a2045370e3bc1cd
1946-042,1946,2/3/1947,80220,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,fcb10695c1cbe83b742c20caf887d851a1c55362fa40f593d272a126e77b65ba
1946-043,1946,2/3/1947,40070,4,OTHER,residual-area,SCDB_2025_01,74eb5f20bb5cca9d9af0f82f394be9cdb2d168a6dfdb0960aae0bd8da8e8b6ef
1946-044,1946,2/3/1947,80220,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,037ddb485f9ba931259b289d88543f7636368f3a81e54a3371aab27b55e84c7f
1946-045,1946,2/3/1947,80180,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,9207755b2589afd3274629476ac6876169bbb9a3882228ba178e86c150402158
1946-046,1946,2/3/1947,80040,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,8eea58eaa81194b0600e6e819069a091de6af38d38700c11e9d92f45fb082e9f
1946-047,1946,2/3/1947,80060,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,e59febf2c66380d60f5c78ee7a7f56bcfe6f1c5a1cf1678e843dbf790f4f5785
1946-048,1946,2/3/1947,10120,1,CRIMINAL_PROCEDURE,issue-area,SCDB_2025_01,1eee0a76d225e17687b96dacf539207a621050bd8e2c241a35d3ace7207fea8b
1946-049,1946,2/10/1947,30170,3,SPEECH,issue-area,SCDB_2025_01,aa7013482992c4d64544891d9d898f34231282d41a31cf716ccfa2f6dff9168b
1946-050,1946,2/10/1947,90340,9,OTHER,residual-area,SCDB_2025_01,74f1dd6b8fd1737e9ae7dc104c5e790c7a051f291ac4711ed04258d3e7a97ab5
1946-051,1946,2/10/1947,30010,3,SPEECH,issue-area,SCDB_2025_01,26c1e0c8c42b04441b060ee0af9ff81415075f03ab83d766d21499d9791bde8f
1946-052,1946,2/17/1947,70040,7,OTHER,residual-area,SCDB_2025_01,fbd0408992fd5a862d29e64e78c96832e16949838427cec9a8a1f3c6159a006a
1946-053,1946,2/17/1947,10170,1,CRIMINAL_PROCEDURE,issue-area,SCDB_2025_01,98a6d48c0b11b1dfe2635547f14c4820c0fe34883474fe18a8ab4406432250bc
1946-054,1946,2/17/1947,20150,2,EQUALITY,issue-area,SCDB_2025_01,4f1d9402d0a87232df69f85c0eb2fd11d4bef1e33df6aa17c05ea986590650b0
1946-055,1946,2/17/1947,90460,9,OTHER,residual-area,SCDB_2025_01,98616619d5d79e6305f32c6127ec8779bc92f300f7cf473c18367a57c2878b47
1946-056,1946,3/3/1947,90330,9,OTHER,residual-area,SCDB_2025_01,0228d731681a3beeb01c6ae889622038f90478db57ef2b436d32fc3224500f8e
1946-057,1946,3/3/1947,70070,7,OTHER,residual-area,SCDB_2025_01,9ae01b03659e830504f7d243bf6aa968f20cf969987afbdbd377b1c008c5db90
1946-058,1946,3/3/1947,80220,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,6bcf29e7354f0b1f6c7b010ad9a7764a993a71d313d83e81967785fc913bd215
1946-059,1946,3/3/1947,80220,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,31682e08af74539717370442bdc999b652ff8e1982f4b07f694cdb6c772af2c8
1946-060,1946,3/6/1947,10080,1,CRIMINAL_PROCEDURE,issue-area,SCDB_2025_01,4bd86d1fcafdd16a45d6dc708c9152109285dcc83e981608d1da259aa6f6b3cd
1946-061,1946,3/10/1947,100050,10,FEDERALISM,issue-area,SCDB_2025_01,f3473a746caef91495a1d49804cd636322ebe0e541449fabd301206effe7e92e
1946-062,1946,3/10/1947,70020,7,OTHER,residual-area,SCDB_2025_01,45b46ebba03ff9fe587db003b07a8894e78621c23cc4f18cc8c30e58d92c9534
1946-063,1946,3/10/1947,80100,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,72e3c06b5f48b6564eeb70989eea868448509158c5aae8d72632ad0247372374
1946-064,1946,3/10/1947,80050,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,b860ddbc0bf5dade1fb7200be960101467d6454a057fc38e654dd08bd3291d8b
1946-065,1946,3/10/1947,90140,9,OTHER,residual-area,SCDB_2025_01,620e6db10dd1c00561842f62892e8a0170c350713bdc29b3b2baf0aa5b807e32
1946-066,1946,3/10/1947,80040,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,6da88308ee90f383937b263f41c3a41fc923403c74531540d42167957597d887
1946-067,1946,3/10/1947,70070,7,OTHER,residual-area,SCDB_2025_01,303a052576021ee77b8f20f15a34d6c45246d3280cf09a959994078edaba7b6b
1946-068,1946,3/10/1947,90140,9,OTHER,residual-area,SCDB_2025_01,527025b72cdc2fc54bfb1ca950014bb9409e0fc65d57fb9241f681bccfbfd9c3
1946-069,1946,3/10/1947,90140,9,OTHER,residual-area,SCDB_2025_01,eeabf966b89924e0aa211b658b059a7f367c75d1e1ed689fd9d11ba8fd723c3e
1946-070,1946,3/17/1947,120030,12,OTHER,residual-area,SCDB_2025_01,7c23a4d958fa190193f88553a9e1c2d8bbbd8e767e01eedee7ea123e39866f4f
1946-071,1946,3/31/1947,70040,7,OTHER,residual-area,SCDB_2025_01,a3e53efb5b35fa5d5b8467e758d7f6e88f4d0cc2946b44f2ed5dae6d555e941f
1946-072,1946,3/31/1947,20060,2,EQUALITY,issue-area,SCDB_2025_01,125126c5250d59f4a42fb5a4406c97826f7ffba0b5b5a4aa5f6f7279929e5c68
1946-073,1946,3/31/1947,80230,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,2f40b249a5b70484f260a16789817df48460281921d21dfc02d492ebe6bc61a5
1946-074,1946,3/31/1947,10080,1,CRIMINAL_PROCEDURE,issue-area,SCDB_2025_01,4b6237c047136ccb2dacdd1604b46cc184004949976653fb179c16063944a0ef
1946-075,1946,3/31/1947,110030,11,FEDERALISM,issue-area,SCDB_2025_01,d361840a9c0af619a22c11cf868b9bde6bc20c3cd1ce390f414c850487b88400
1946-076,1946,3/31/1947,110030,11,FEDERALISM,issue-area,SCDB_2025_01,12a3e7bd3d810515474152ca663aba5a0b8972277a7ebcad193718351820401c
1946-077,1946,3/31/1947,10600,1,CRIMINAL_PROCEDURE,issue-area,SCDB_2025_01,49ff71f2830520d26ce7910e260414c2a4a543b0d008f7df0571e3c86e97795a
1946-078,1946,3/31/1947,70040,7,OTHER,residual-area,SCDB_2025_01,119ab6d43f5a0161e4a362153aada3f2d9b280a5f9b3a92aabb25e6883e44fec
1946-079,1946,3/31/1947,70040,7,OTHER,residual-area,SCDB_2025_01,b80581a3d1f0e300b71ac600dbe3256c27a7d165133ebd74e53b084f75385313
1946-080,1946,4/7/1947,120010,12,OTHER,residual-area,SCDB_2025_01,b1048a37f563d8dab12a2546fde2016ebd4b5c2a50a8c2dd12528d046432bf61
1946-081,1946,4/7/1947,10480,1,CRIMINAL_PROCEDURE,issue-area,SCDB_2025_01,dc999fd3d3b081863260d825344e243103324105231c3c229d4582fd3fbaced3
1946-082,1946,4/7/1947,90320,9,OTHER,residual-area,SCDB_2025_01,3dc5e77dfed5332fabc34b2afe2c7329f9ac7e9a384d6354397ddd77968829d0
1946-083,1946,4/7/1947,80010,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,2c136ae9cef93208e5494d2f9704ad24c9101c3a0eb0405b1643dc4dc71d9e75
1946-084,1946,4/7/1947,100030,10,FEDERALISM,issue-area,SCDB_2025_01,d4b90dea220f742f9ea9c59d6bd44996cd67cc8e018b4040b22fb335c55eecc6
1946-085,1946,4/14/1947,120010,12,OTHER,residual-area,SCDB_2025_01,fba19b625e2138afc8a4ed77b7ffeb5890d344b01e4ddfa4549eb7a5e379521f
1946-086,1946,4/14/1947,70040,7,OTHER,residual-area,SCDB_2025_01,d08d465b00613330e4cdb67ac91a3594cc3fac8cf845160d9cdc706782c6e39b
1946-087,1946,4/14/1947,80030,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,666c0212ab4b4f9a68b25e8f0cb674f8d961c57800d0cda04e7998de6c236a5e
1946-088,1946,4/14/1947,20250,2,EQUALITY,issue-area,SCDB_2025_01,556303add66888df5fb21ceaa73dfa9dc6f94b1dc171556ef0b4f4a5a13ed267
1946-089,1946,4/14/1947,80100,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,2a481f41c93d2d3d1ab5407ad5f6d6d2a3cf00989ba6750c4828c138ee757e32
1946-090,1946,4/28/1947,90380,9,OTHER,residual-area,SCDB_2025_01,a71c9304365c991092f420902b553b16f85dc295c776c9f85a43eb6d4868e25f
1946-091,1946,4/28/1947,90340,9,OTHER,residual-area,SCDB_2025_01,234ccd563355d7ff2478ff7a713f9315a41b7d3deca78d0fea4278ec5f7e69d9
1946-092,1946,4/28/1947,10360,1,CRIMINAL_PROCEDURE,issue-area,SCDB_2025_01,e1e21b339d608f046f6f15e2e7133176bc2885719c89f2f9c02b1265f946ab97
1946-093,1946,4/28/1947,80200,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,69ca5cfd2abc7b4c2c7cc5d86ca2a5e71ecf0ee37bbd3951e325bbc0c9e2b5d4
1946-094,1946,4/28/1947,90320,9,OTHER,residual-area,SCDB_2025_01,42a4cd933c12f7e33ca063a17af4c26dcfc84e2fcea73aafc40727d6189d53e8
1946-095,1946,5/5/1947,10050,1,CRIMINAL_PROCEDURE,issue-area,SCDB_2025_01,9c78e0c1f68893d1006d94359b28eb8f0bf52c868aaa0aee6a630b265ca6a57a
1946-096,1946,5/5/1947,70040,7,OTHER,residual-area,SCDB_2025_01,46453a348b78b7d50716cca8c43f92e30a68ea53a3189174537567cecbba301e
1946-097,1946,5/5/1947,120010,12,OTHER,residual-area,SCDB_2025_01,9b0917a623ce6b8c89388d16e4f8f72e6fc36a4f7a638c1b21a1a23a15b9b355
1946-098,1946,5/5/1947,100030,10,FEDERALISM,issue-area,SCDB_2025_01,d4ff11e1b5cca27bec49cc6b04fe6a0c8718c2c57594db12800de6ac8b19772c
1946-099,1946,5/5/1947,100030,10,FEDERALISM,issue-area,SCDB_2025_01,a0ca13fb4d012dda7d3aadfcee88801de347f1b8cde5f356e0c3ac08f5287fac
1946-100,1946,5/12/1947,100010,10,FEDERALISM,issue-area,SCDB_2025_01,995d24ebce73796fc654c1dfa8d03451019a042f1a3f906187db9ab9930e64a9
1946-101,1946,5/12/1947,80220,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,23e17628e9fc313f28fcd837bbaa42cb3cad7a37a3584d93e53ceb9dbf719ea8
1946-102,1946,5/19/1947,30010,3,SPEECH,issue-area,SCDB_2025_01,3c94e26701d6054fdcf4b791b70c2ce48101425c6ac45ab305ec7305eb7cb1a3
1946-103,1946,5/19/1947,70130,7,OTHER,residual-area,SCDB_2025_01,8d6efe91064bfe4a407610d57800c3e3dbc963e1ae33ae34f0472a0e6446986a
1946-104,1946,5/19/1947,90130,9,OTHER,residual-area,SCDB_2025_01,3d7658ae8d1b081ac1335fc148578d6394587d748887374592494c5c317bf1c3
1946-105,1946,5/19/1947,80170,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,a520645e23e87ea13d0268044b4d52827a6df4d4d9d65dd3ccc289c37845d0a1
1946-106,1946,6/2/1947,90520,9,OTHER,residual-area,SCDB_2025_01,00403995ec643b759d37253dc0343fee41c13407af9402004c4d487968575e54
1946-107,1946,6/2/1947,10370,1,CRIMINAL_PROCEDURE,issue-area,SCDB_2025_01,3c9fc4a5280f586e424a023836eb1d5345aef4080dda69491925c92ca08e3c18
1946-108,1946,6/2/1947,80040,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,ded46d7c6e24d92accd96ae35b912c276c117661b5cdbd1f36d87411fea930d0
1946-109,1946,6/9/1947,80100,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,c7d32662f7603cd0a0b9e406fab6f12a9b45eb96c951dca50692e0bb292cd7a9
1946-110,1946,6/9/1947,20310,2,EQUALITY,issue-area,SCDB_2025_01,4bd7f3a20b8affa3b9575277ff4d7b9eff1e1f5bc5fe3ef5d63c760d990a412f
1946-111,1946,6/9/1947,70200,7,OTHER,residual-area,SCDB_2025_01,4d1aca293f5fd92d4fb5e6bed37fc8329f2ad161ec8dfb2dfa00df778311e35c
1946-112,1946,6/9/1947,20240,2,EQUALITY,issue-area,SCDB_2025_01,acf778c91734bba226c214ce9765dc924f26e7c8503b22df4a85ff466c04a47a
1946-113,1946,6/9/1947,90380,9,OTHER,residual-area,SCDB_2025_01,643928bb4f1e3ed1eb904a85d60c04d480c18cb8b82b23637f6aa4d573fb9a0c
1946-114,1946,6/9/1947,90180,9,OTHER,residual-area,SCDB_2025_01,a6f4ee30b642b63ec032725dae0b3fae8484d923909dcc2d44790089e2fd174a
1946-115,1946,6/9/1947,110030,11,FEDERALISM,issue-area,SCDB_2025_01,9672239d43454c44723d872bf4d53143e5dd212bb687144eae7666b5d1494082
1946-116,1946,6/16/1947,80030,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,dde38514a0a7bde8a4c0679bdb8a21cc4ac7b3964e61aa3bf9ac3754d99216c9
1946-117,1946,6/16/1947,80300,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,382dd31d45f8b25d966504fb2b8a99988629cdb51dc75178032c0f262efc252e
1946-118,1946,6/16/1947,120010,12,OTHER,residual-area,SCDB_2025_01,77db7bc44d82e757a5597e1e154d659398373cd241c605e76b62aa82c2fc408d
1946-119,1946,6/16/1947,120010,12,OTHER,residual-area,SCDB_2025_01,acb8aaccaa6d31a79497a85fce504046fdba93b19f5d8e071143d11cba4d6b68
1946-120,1946,6/16/1947,70040,7,OTHER,residual-area,SCDB_2025_01,a0a61d632efaaa10400e7d318f0e76fd3baa9873f2c050d1d338c12efff138b5
1946-121,1946,6/16/1947,80070,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,e9ce583cd7265ce1af9004f6de6f1f238c37f03933261b3a01bb76a0a663ccb5
1946-122,1946,6/16/1947,120010,12,OTHER,residual-area,SCDB_2025_01,de806b0a7d5089bc375d7b1e8be8da2d3b37dc63f655f178418368de995f2f32
1946-123,1946,6/16/1947,40070,4,OTHER,residual-area,SCDB_2025_01,9ff88398744a779f6d66f239356207e2338179c13a03cf9690dbf8b248837162
1946-124,1946,6/16/1947,90050,9,OTHER,residual-area,SCDB_2025_01,ae6003748bbcf00e989186a0974384abb3b16953d6b60edb02b45b7784c788a0
1946-125,1946,6/23/1947,30010,3,SPEECH,issue-area,SCDB_2025_01,2fb2e9518c029b80c5944ffd3a5a5185fb6be0c24285a371056ba094a076fab9
1946-126,1946,6/23/1947,10090,1,CRIMINAL_PROCEDURE,issue-area,SCDB_2025_01,a00da2372c8c2ab5b688eb781f7c403de8bf5822452602cdec52581b481222ed
1946-127,1946,6/23/1947,120010,12,OTHER,residual-area,SCDB_2025_01,4d46528ec187597b6206a2e1f349f11a22dfa03f4f1f96d16b1ef869d309fcd0
1946-128,1946,6/23/1947,10120,1,CRIMINAL_PROCEDURE,issue-area,SCDB_2025_01,7848ebdf66f2aa5ac341c421f23affb5d7502f0992421c200bcfc3fe2ceeb11e
1946-129,1946,6/23/1947,10120,1,CRIMINAL_PROCEDURE,issue-area,SCDB_2025_01,0ec812ff643ca195e428669f76bb2e40a24dc6a9cd8ffa69a7beaa8115079ecb
1946-130,1946,6/23/1947,80070,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,6daf0b3d8a8333c56a071d0fea47a1f372b609728ab457a6db5a9d20c1174f70
1946-131,1946,6/23/1947,80100,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,892e9c084397cc66c3651c002245e37dc66768b66751fc8d27fed45732e97673
1946-132,1946,6/23/1947,30130,3,SPEECH,issue-area,SCDB_2025_01,5c8a10434ce161273c3a6d71e3376a0ec4b0db20f05dab043d1e2f679f8a6757
1946-133,1946,6/23/1947,80120,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,5811f1a559b7c509afe2ce14df03d5cf1082574cb46b9b434691777db8e93f9a
1946-134,1946,6/23/1947,80010,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,6deb6f2f07b34be78ac80a01726406968b09b7ecac07a7648bf5ec62d8c7130e
1946-135,1946,6/23/1947,80060,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,c9c8d27ddcb5d32586961765c27890b9a8d99822a1a13793fd011e15ed84e277
1946-136,1946,6/23/1947,80030,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,cebf47cf19e7b3f255cdc9565376b914cde9182909e872704e35b6a70f41d9ca
1946-137,1946,6/23/1947,90370,9,OTHER,residual-area,SCDB_2025_01,ebcc206660696326cb1586ad66129a652f238f94af2b52306962c70a6e3956b9
1946-138,1946,6/23/1947,10190,1,CRIMINAL_PROCEDURE,issue-area,SCDB_2025_01,2cc03e9d5c510f3ca81751e404ab0b86d462e5bf41ca4bad280aa6c653d7e880
1946-139,1946,6/23/1947,80070,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,bd9f88aaab138977cda45b026e59a2d4339458230526d66054ce8b5313771eaf
1946-140,1946,6/23/1947,80010,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,8c5dba8fbfb18922575fafb9c60496a4755eb7592c309d23b959a6ff7b93cf55
1946-143,1946,6/23/1947,100040,10,FEDERALISM,issue-area,SCDB_2025_01,a057661d7b3b855ed09d2cfa56edc0d814f869ae79662721f5d30e7f574c608d
1946-144,1946,3/31/1947,,,OTHER,missing-required-code,SCDB_2025_01,88bcce1a4a862765ac16aabe654c4fc0f4adde86b03e18b92c3221b00c6a9f18
1947-001,1947,11/10/1947,10430,1,CRIMINAL_PROCEDURE,issue-area,SCDB_2025_01,2899ead1472aeb6946c0f38d401d542efdd2fd8fd03a4e895c9cc0b2d5b3019c
1947-002,1947,11/10/1947,80060,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,15a30e28ccd00c45ef710f0e0c0dc709fbaeda3ea45d86e1c9bc7dc877d9d9ef
1947-003,1947,11/10/1947,20110,2,EQUALITY,issue-area,SCDB_2025_01,e4fe51ce544d3ac65f1347cc41f2c750f28d14e0464caa829c7fd8db1e38e077
1947-004,1947,11/10/1947,80010,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,363e3167e7d3412216d268fbfc5f6577331b5b3459161a4da3f89f52302543e5
1947-005,1947,11/17/1947,80060,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,021f43be48db20602215fbda12a5511041c5b364263ca0062b75786aa4296464
1947-006,1947,11/17/1947,70040,7,OTHER,residual-area,SCDB_2025_01,bac8e5130476d6f2f3273837c5e9dd84a1048979d08b6ee5ad4cd8ceec53744f
1947-007,1947,11/24/1947,30130,3,SPEECH,issue-area,SCDB_2025_01,5485083f4f39987a7c0fff969cc00d21d4406c91c2cb5b93b5eb11e047f517b3
1947-008,1947,11/24/1947,80040,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,c4f82e8ed34362d30510d692506a24e733dc2f44fb12c36dddc32e24ce3b45cb
1947-009,1947,12/8/1947,20040,2,EQUALITY,issue-area,SCDB_2025_01,1398e2de1a7c878a253a02f092ddb703797a16cf455c239038c8c156fce81a61
1947-010,1947,12/8/1947,40070,4,OTHER,residual-area,SCDB_2025_01,d5d52ab7707962e34c6abc83e0a851e6ec4e70b47caedb79ba33dd9e22c87045
1947-011,1947,12/8/1947,40070,4,OTHER,residual-area,SCDB_2025_01,d758ee78a5c306cb6ba36d70bdd62a890c1783472b4bb425ef2384cb1010ba42
1947-012,1947,12/8/1947,90120,9,ADMINISTRATIVE_STATE,explicit-issue,SCDB_2025_01,7915e643906b35e974498e653417257b78d5a531da9f44cadc9f9fa1ce0924d3
1947-013,1947,12/8/1947,80100,8,ADMINISTRATIVE_STATE,issue-area,SCDB_2025_01,5e2e40b680935222272213427e48e0f43d94871b3886fbc4f44e4c67b79c11de
1947-014,1947,12/15/1947,100030,10,FEDERALISM,issue-area,SCDB_2025_01,9d7e89440af84ea7c94771f12bc7cec5e131279546cd27ba364cf03d11f7272a
1947-015,1947,12/22/1947,120010,12,OTHER,residual-area,SCDB_2025_01,7d3fe640651402d6e3f498edfe1dccf2467d771665323904814b07840908e831
