profileKey,court,targetFamily,coverageStatus,sourceRows,validationRows,stressOnlyRows,outOfRangeRows,largestGap,largestGapTarget,largestGapCategory,nextAction
gallup-court-confidence-2024,U.S. Supreme Court,remedy-timing,missing,0,0,0,0,0.000,,,
gallup-court-confidence-2024,U.S. Supreme Court,legislative-response,missing,0,0,0,0,0.000,,,
gallup-court-confidence-2024,U.S. Supreme Court,route-mix,missing,0,0,0,0,0.000,,,
gallup-court-confidence-2024,U.S. Supreme Court,compliance,missing,0,0,0,0,0.000,,,
gallup-court-confidence-2024,U.S. Supreme Court,cost,missing,0,0,0,0,0.000,,,
gallup-court-confidence-2024,U.S. Supreme Court,doctrine-mix,missing,0,0,0,0,0.000,,,
gallup-court-confidence-2024,U.S. Supreme Court,political-context,stress-only,1,0,1,0,0.000,,,
germany-bverfg-2024,German Federal Constitutional Court,intake,stress-only,1,0,1,0,0.000,,,
germany-bverfg-2024,German Federal Constitutional Court,case-selection,missing,0,0,0,0,0.000,,,
germany-bverfg-2024,German Federal Constitutional Court,emergency,missing,0,0,0,0,0.000,,,
germany-bverfg-2024,German Federal Constitutional Court,merits,missing,0,0,0,0,0.000,,,
germany-bverfg-2024,German Federal Constitutional Court,remedy-timing,missing,0,0,0,0,0.000,,,
germany-bverfg-2024,German Federal Constitutional Court,legislative-response,missing,0,0,0,0,0.000,,,
germany-bverfg-2024,German Federal Constitutional Court,route-mix,missing,0,0,0,0,0.000,,,
germany-bverfg-2024,German Federal Constitutional Court,compliance,missing,0,0,0,0,0.000,,,
germany-bverfg-2024,German Federal Constitutional Court,cost,stress-only,2,0,2,0,0.000,,,
germany-bverfg-2024,German Federal Constitutional Court,doctrine-mix,missing,0,0,0,0,0.000,,,
germany-bverfg-2024,German Federal Constitutional Court,political-context,stress-only,1,0,1,0,0.000,,,
scdb-modern-merits-2000-2024,U.S. Supreme Court,intake,missing,0,0,0,0,0.000,,,
scdb-modern-merits-2000-2024,U.S. Supreme Court,case-selection,missing,0,0,0,0,0.000,,,
scdb-modern-merits-2000-2024,U.S. Supreme Court,emergency,missing,0,0,0,0,0.000,,,
scdb-modern-merits-2000-2024,U.S. Supreme Court,merits,missing,0,0,0,0,0.000,,,
scdb-modern-merits-2000-2024,U.S. Supreme Court,remedy-timing,missing,0,0,0,0,0.000,,,
scdb-modern-merits-2000-2024,U.S. Supreme Court,legislative-response,missing,0,0,0,0,0.000,,,
scdb-modern-merits-2000-2024,U.S. Supreme Court,route-mix,missing,0,0,0,0,0.000,,,
scdb-modern-merits-2000-2024,U.S. Supreme Court,compliance,missing,0,0,0,0,0.000,,,
scdb-modern-merits-2000-2024,U.S. Supreme Court,cost,missing,0,0,0,0,0.000,,,
scdb-modern-merits-2000-2024,U.S. Supreme Court,doctrine-mix,stress-only,7,0,7,0,0.000,,,
scdb-modern-merits-2000-2024,U.S. Supreme Court,political-context,missing,0,0,0,0,0.000,,,
scdb-postwar-merits-1946-2024,U.S. Supreme Court,intake,missing,0,0,0,0,0.000,,,
scdb-postwar-merits-1946-2024,U.S. Supreme Court,case-selection,missing,0,0,0,0,0.000,,,
scdb-postwar-merits-1946-2024,U.S. Supreme Court,emergency,missing,0,0,0,0,0.000,,,
scdb-postwar-merits-1946-2024,U.S. Supreme Court,merits,missing,0,0,0,0,0.000,,,
scdb-postwar-merits-1946-2024,U.S. Supreme Court,remedy-timing,missing,0,0,0,0,0.000,,,
scdb-postwar-merits-1946-2024,U.S. Supreme Court,legislative-response,missing,0,0,0,0,0.000,,,
scdb-postwar-merits-1946-2024,U.S. Supreme Court,route-mix,missing,0,0,0,0,0.000,,,
scdb-postwar-merits-1946-2024,U.S. Supreme Court,compliance,missing,0,0,0,0,0.000,,,
scdb-postwar-merits-1946-2024,U.S. Supreme Court,cost,missing,0,0,0,0,0.000,,,
scdb-postwar-merits-1946-2024,U.S. Supreme Court,doctrine-mix,stress-only,7,0,7,0,0.000,,,
scdb-postwar-merits-1946-2024,U.S. Supreme Court,political-context,missing,0,0,0,0,0.000,,,
scotus-emergency-2024-2025,U.S. Supreme Court,intake,stress-only,1,0,1,0,0.000,,,
scotus-emergency-2024-2025,U.S. Supreme Court,case-selection,missing,0,0,0,0,0.000,,,
scotus-emergency-2024-2025,U.S. Supreme Court,emergency,validation-counted,3,3,0,0,0.000,,,
scotus-emergency-2024-2025,U.S. Supreme Court,merits,missing,0,0,0,0,0.000,,,
scotus-emergency-2024-2025,U.S. Supreme Court,remedy-timing,missing,0,0,0,0,0.000,,,
scotus-emergency-2024-2025,U.S. Supreme Court,legislative-response,missing,0,0,0,0,0.000,,,
scotus-emergency-2024-2025,U.S. Supreme Court,route-mix,missing,0,0,0,0,0.000,,,
scotus-emergency-2024-2025,U.S. Supreme Court,compliance,missing,0,0,0,0,0.000,,,
scotus-emergency-2024-2025,U.S. Supreme Court,cost,missing,0,0,0,0,0.000,,,
scotus-emergency-2024-2025,U.S. Supreme Court,doctrine-mix,missing,0,0,0,0,0.000,,,
scotus-emergency-2024-2025,U.S. Supreme Court,political-context,missing,0,0,0,0,0.000,,,
south-africa-constcourt-recent,Constitutional Court of South Africa,intake,stress-only,1,0,1,0,0.000,,,
south-africa-constcourt-recent,Constitutional Court of South Africa,case-selection,missing,0,0,0,0,0.000,,,
south-africa-constcourt-recent,Constitutional Court of South Africa,emergency,missing,0,0,0,0,0.000,,,
south-africa-constcourt-recent,Constitutional Court of South Africa,merits,stress-only,1,0,1,0,0.000,,,
south-africa-constcourt-recent,Constitutional Court of South Africa,remedy-timing,missing,0,0,0,0,0.000,,,
south-africa-constcourt-recent,Constitutional Court of South Africa,legislative-response,missing,0,0,0,0,0.000,,,
south-africa-constcourt-recent,Constitutional Court of South Africa,route-mix,missing,0,0,0,0,0.000,,,
south-africa-constcourt-recent,Constitutional Court of South Africa,compliance,missing,0,0,0,0,0.000,,,
south-africa-constcourt-recent,Constitutional Court of South Africa,cost,stress-only,1,0,1,0,0.000,,,
south-africa-constcourt-recent,Constitutional Court of South Africa,doctrine-mix,missing,0,0,0,0,0.000,,,
south-africa-constcourt-recent,Constitutional Court of South Africa,political-context,stress-only,1,0,1,0,0.000,,,
uk-human-rights-doi-2025,United Kingdom domestic courts,intake,missing,0,0,0,0,0.000,,,
uk-human-rights-doi-2025,United Kingdom domestic courts,case-selection,missing,0,0,0,0,0.000,,,
uk-human-rights-doi-2025,United Kingdom domestic courts,emergency,missing,0,0,0,0,0.000,,,
uk-human-rights-doi-2025,United Kingdom domestic courts,merits,missing,0,0,0,0,0.000,,,
uk-human-rights-doi-2025,United Kingdom domestic courts,remedy-timing,missing,0,0,0,0,0.000,,,
uk-human-rights-doi-2025,United Kingdom domestic courts,legislative-response,validation-counted,2,2,0,1,0.056,Strict response after declarations of incompatibility,weak-form response mechanism,"Tune response-cycle triggers, government capacity, and statutory-remedy coding for the declaration model."
uk-human-rights-doi-2025,United Kingdom domestic courts,route-mix,missing,0,0,0,0,0.000,,,
uk-human-rights-doi-2025,United Kingdom domestic courts,compliance,missing,0,0,0,0,0.000,,,
uk-human-rights-doi-2025,United Kingdom domestic courts,cost,missing,0,0,0,0,0.000,,,
uk-human-rights-doi-2025,United Kingdom domestic courts,doctrine-mix,missing,0,0,0,0,0.000,,,
uk-human-rights-doi-2025,United Kingdom domestic courts,political-context,missing,0,0,0,0,0.000,,,
uk-supreme-court-2024-2025,UK Supreme Court,intake,validation-counted,1,1,0,0,0.000,,,
uk-supreme-court-2024-2025,UK Supreme Court,case-selection,validation-counted,1,1,0,0,0.000,,,
uk-supreme-court-2024-2025,UK Supreme Court,emergency,missing,0,0,0,0,0.000,,,
uk-supreme-court-2024-2025,UK Supreme Court,merits,missing,0,0,0,0,0.000,,,
uk-supreme-court-2024-2025,UK Supreme Court,remedy-timing,missing,0,0,0,0,0.000,,,
uk-supreme-court-2024-2025,UK Supreme Court,legislative-response,missing,0,0,0,0,0.000,,,
uk-supreme-court-2024-2025,UK Supreme Court,route-mix,missing,0,0,0,0,0.000,,,
uk-supreme-court-2024-2025,UK Supreme Court,compliance,missing,0,0,0,0,0.000,,,
uk-supreme-court-2024-2025,UK Supreme Court,cost,missing,0,0,0,0,0.000,,,
uk-supreme-court-2024-2025,UK Supreme Court,doctrine-mix,missing,0,0,0,0,0.000,,,
uk-supreme-court-2024-2025,UK Supreme Court,political-context,missing,0,0,0,0,0.000,,,
