profileKey,court,timePeriod,targetKey,label,estimate,lower95,upper95,targetLower,targetUpper,targetObservedValue,targetN,unit,targetMethod,reliability,useForValidation,n,method,sourceName,sourceUrl
scdb-modern-merits-2000-2024,U.S. Supreme Court,2000-2024 terms,doctrine_mix.speech,Speech docket share,0.338,0.337,0.339,0.039,0.080,0.059,1886,share,SCDB issue-area proxy,high,true,1008000,conservative-bounded-normal-95,Supreme Court Database 2025 Release 01,https://scdb.la.psu.edu/data/2025-release-01/
scdb-modern-merits-2000-2024,U.S. Supreme Court,2000-2024 terms,doctrine_mix.equality,Civil-rights and privacy docket share,0.144,0.143,0.145,0.137,0.191,0.164,1886,share,SCDB issue-area proxy,high,true,1008000,conservative-bounded-normal-95,Supreme Court Database 2025 Release 01,https://scdb.la.psu.edu/data/2025-release-01/
scdb-modern-merits-2000-2024,U.S. Supreme Court,2000-2024 terms,doctrine_mix.criminal_procedure,Criminal procedure docket share,0.049,0.049,0.050,0.230,0.289,0.259,1886,share,SCDB issue-area proxy,high,true,1008000,conservative-bounded-normal-95,Supreme Court Database 2025 Release 01,https://scdb.la.psu.edu/data/2025-release-01/
scdb-modern-merits-2000-2024,U.S. Supreme Court,2000-2024 terms,doctrine_mix.federalism,Federalism docket share,0.071,0.071,0.072,0.037,0.078,0.057,1886,share,SCDB issue-area proxy,high,true,1008000,conservative-bounded-normal-95,Supreme Court Database 2025 Release 01,https://scdb.la.psu.edu/data/2025-release-01/
scdb-modern-merits-2000-2024,U.S. Supreme Court,2000-2024 terms,doctrine_mix.election_law,Election-law docket share,0.120,0.119,0.121,0.009,0.043,0.026,1886,share,SCDB issue-code proxy,medium,true,1008000,conservative-bounded-normal-95,Supreme Court Database issue codebook,https://scdb.la.psu.edu/online-codebook/issue/
scdb-modern-merits-2000-2024,U.S. Supreme Court,2000-2024 terms,doctrine_mix.emergency_powers,Emergency-powers merits share,0.069,0.069,0.070,0.000,0.019,0.005,1886,share,SCDB issue-code proxy,medium,true,1008000,conservative-bounded-normal-95,Supreme Court Database issue codebook,https://scdb.la.psu.edu/online-codebook/issue/
scdb-modern-merits-2000-2024,U.S. Supreme Court,2000-2024 terms,doctrine_mix.administrative_state,Administrative and economic regulation share,0.083,0.083,0.084,0.193,0.250,0.222,1886,share,SCDB issue-area plus agency-review proxy,medium,true,1008000,conservative-bounded-normal-95,Supreme Court Database issue codebook,https://scdb.la.psu.edu/online-codebook/issue/
scotus-emergency-2024-2025,U.S. Supreme Court,2024-2025 emergency docket,emergency_relief_rate,Substantive emergency application relief rate,0.448,0.445,0.451,0.310,0.460,0.440,43,share,SCOTUSblog emergency application universe summary,medium,true,108627,conservative-bounded-normal-95,SCOTUSblog Davis 2025 emergency docket summary,https://www.scotusblog.com/
scotus-emergency-2024-2025,U.S. Supreme Court,2024-2025 emergency docket,emergency_reason_giving_rate,Written explanation share,0.626,0.623,0.628,0.200,0.360,0.279,43,share,SCOTUSblog emergency application universe summary,medium,true,108627,conservative-bounded-normal-95,SCOTUSblog Davis 2025 emergency docket summary,https://www.scotusblog.com/
scotus-emergency-2024-2025,U.S. Supreme Court,2024-2025 emergency docket,emergency_public_disagreement_rate,Public disagreement share,0.170,0.167,0.172,0.570,0.760,0.670,43,share,SCOTUSblog emergency application universe summary,medium,true,108627,conservative-bounded-normal-95,SCOTUSblog Davis 2025 emergency docket summary,https://www.scotusblog.com/
scotus-emergency-2024-2025,U.S. Supreme Court,2024-2025 emergency docket,intake_acceptance_rate,Certiorari or emergency screening acceptance proxy,0.025,0.025,0.025,0.014,0.022,0.018,3856,share,OT2024 docketed cases and certiorari grants,high,true,39648744,conservative-bounded-normal-95,Supreme Court Journal October Term 2024,https://www.supremecourt.gov/orders/journal/Jnl24.pdf
gallup-court-confidence-2024,U.S. Supreme Court,2024 public-opinion year,public_trust,Public court trust and approval,0.230,0.229,0.231,0.350,0.490,0.420,0,share,Gallup confidence and approval bracket,medium,false,1008000,conservative-bounded-normal-95,Gallup Supreme Court and courts confidence reporting,https://news.gallup.com/poll/647834/approval-supreme-court-stalled-near-historical-low.aspx
