contrast,claim,left,right,kind,metric,expectedSign,role,measurementCaveat,cells,pointMin,pointMax,positiveCells,negativeCells,nearZeroCells,intervalsAboveZero,intervalsBelowZero,classification
screening-ablation,screening,council-with-full-court-structure,constitutional-council,ablation,upstreamScreeningCost,0,registered-component,Constructed upstream-burden score partly imposed by intake rules,52,-6.101948266852009e-05,5.9663648686053564e-05,0,0,52,1,1,descriptive-only
screening-ablation,screening,council-with-full-court-structure,constitutional-council,ablation,capacityStrainCost,0,registered-diagnostic,Constructed capacity score; no directional superiority prespecified,52,-0.043843661734209304,-0.04254935465511236,0,52,0,0,52,descriptive-only
screening-ablation,screening,council-with-full-court-structure,constitutional-council,ablation,totalInstitutionalCost,0,registered-diagnostic,Constructed total index; not the arithmetic sum of raw monetary costs,52,-0.05040498611590847,-0.05013495825490654,0,52,0,0,52,descriptive-only
screening-ablation,screening,council-with-full-court-structure,constitutional-council,ablation,intakeAcceptanceRate,0,registered-diagnostic,Reviewed cases divided by simulated intake filings; no directional superiority prespecified,52,-2.259504812034043e-05,2.1826074056555526e-05,0,0,52,1,1,descriptive-only
screening-ablation,screening,council-with-full-court-structure,constitutional-council,ablation,councilScreenRate,0,registered-component,Mechanism activation conditional on reviewed cases; not independent validation,52,-1.0,-1.0,0,52,0,0,52,descriptive-only
screening-ablation,screening,council-with-full-court-structure,constitutional-council,ablation,administrativeLoad,0,additional-diagnostic,Constructed administrative load; descriptive only,52,-0.24098437500000008,-0.23914541666666678,0,52,0,0,52,descriptive-only
weak-form-half,weak-form,weak-form-half-response,weak-form-review,ablation,legislativeResponseRate,0,registered-component,Response event depends on assigned triggers and credibility rules,52,-0.26875,-0.07437500000000001,0,52,0,0,52,descriptive-only
weak-form-half,weak-form,weak-form-half-response,weak-form-review,ablation,legislativeResponseCredibility,0,registered-component,Constructed credibility score; directly scaled by the response intervention,52,-0.3258226971071203,-0.2741563368269996,0,52,0,0,52,descriptive-only
weak-form-half,weak-form,weak-form-half-response,weak-form-review,ablation,timelyLegislativeResponseRate,0,registered-component,Conditional on positive replies; no replies is not an observed late reply,52,-0.3228927362023692,0.0,0,39,13,0,40,descriptive-only
weak-form-half,weak-form,weak-form-half-response,weak-form-review,ablation,rightsProtection,0,registered-component,Constructed rights-protection score; not constitutional correctness,52,-0.019100638883145803,0.0014260608815832992,0,37,15,2,48,descriptive-only
weak-form-half,weak-form,weak-form-half-response,weak-form-review,ablation,complianceRate,0,registered-component,Simulated compliance event share; not an observed reform effect,52,-0.0696875,0.013645833333333334,1,22,29,1,17,descriptive-only
weak-form-half,weak-form,weak-form-half-response,weak-form-review,ablation,democraticResponsiveness,0,registered-component,Constructed responsiveness index,52,-0.040082779467505616,-0.009830242082341189,0,51,1,0,52,descriptive-only
weak-form-half,weak-form,weak-form-half-response,weak-form-review,ablation,vetoRelocationRisk,0,registered-component,Constructed veto-risk index with design-specific terms,52,0.012138484213093789,0.04330843620977241,52,0,0,52,0,descriptive-only
weak-form-half,weak-form,weak-form-half-response,weak-form-review,ablation,totalInstitutionalCost,0,registered-diagnostic,Constructed cost index; no cost superiority prespecified,52,-0.0026434959136300753,-0.0005875545095479814,0,0,52,0,52,descriptive-only
weak-form-half,weak-form,weak-form-half-response,weak-form-review,ablation,averageLegislativeResponseDelay,0,additional-diagnostic,Conditional on positive replies; zero replies is not instantaneous response,52,0.07076271110625867,0.08598540174040428,52,0,0,52,0,descriptive-only
weak-form-off,weak-form,weak-form-no-response,weak-form-review,ablation,legislativeResponseRate,0,registered-component,Response event depends on assigned triggers and credibility rules,52,-0.5447916666666667,-0.14958333333333332,0,52,0,0,52,descriptive-only
weak-form-off,weak-form,weak-form-no-response,weak-form-review,ablation,legislativeResponseCredibility,0,registered-component,Constructed credibility score; directly scaled by the response intervention,52,-0.6521340927511562,-0.5482564236539992,0,52,0,0,52,descriptive-only
weak-form-off,weak-form,weak-form-no-response,weak-form-review,ablation,timelyLegislativeResponseRate,0,registered-component,Conditional on positive replies; no replies is not an observed late reply,52,-0.32791827353053815,0.0,0,39,13,0,40,descriptive-only
weak-form-off,weak-form,weak-form-no-response,weak-form-review,ablation,rightsProtection,0,registered-component,Constructed rights-protection score; not constitutional correctness,52,-0.0328357576432219,0.0035692359485069805,0,48,4,4,48,descriptive-only
weak-form-off,weak-form,weak-form-no-response,weak-form-review,ablation,complianceRate,0,registered-component,Simulated compliance event share; not an observed reform effect,52,-0.09520833333333334,0.0026041666666666674,0,29,23,0,22,descriptive-only
weak-form-off,weak-form,weak-form-no-response,weak-form-review,ablation,democraticResponsiveness,0,registered-component,Constructed responsiveness index,52,-0.08070336945361699,-0.018883079945205862,0,52,0,0,52,descriptive-only
weak-form-off,weak-form,weak-form-no-response,weak-form-review,ablation,vetoRelocationRisk,0,registered-component,Constructed veto-risk index with design-specific terms,52,0.02414028371165007,0.0871560411300078,52,0,0,52,0,descriptive-only
weak-form-off,weak-form,weak-form-no-response,weak-form-review,ablation,totalInstitutionalCost,0,registered-diagnostic,Constructed cost index; no cost superiority prespecified,52,-0.005096375663120112,-0.0013983973732881484,0,0,52,0,52,descriptive-only
weak-form-off,weak-form,weak-form-no-response,weak-form-review,ablation,averageLegislativeResponseDelay,0,additional-diagnostic,Conditional on positive replies; zero replies is not instantaneous response,52,-0.4894585842772386,-0.36067750297682355,0,52,0,0,52,descriptive-only
weak-form-half-v-current,weak-form,weak-form-half-response,current-federal-court,persistence,legislativeResponseRate,0,registered-component,Response event depends on assigned triggers and credibility rules,52,0.07520833333333334,0.27729166666666666,52,0,0,52,0,descriptive-only
weak-form-half-v-current,weak-form,weak-form-half-response,current-federal-court,persistence,legislativeResponseCredibility,0,registered-component,Constructed credibility score; directly scaled by the response intervention,52,-0.2676252790666661,-0.21245360311174474,0,52,0,0,52,descriptive-only
weak-form-half-v-current,weak-form,weak-form-half-response,current-federal-court,persistence,timelyLegislativeResponseRate,0,registered-component,Conditional on positive replies; no replies is not an observed late reply,52,0.0,0.005025537328168907,0,0,52,3,0,descriptive-only
weak-form-half-v-current,weak-form,weak-form-half-response,current-federal-court,persistence,rightsProtection,0,registered-component,Constructed rights-protection score; not constitutional correctness,52,-0.020736663550336282,0.060997183810801554,44,8,0,44,8,descriptive-only
weak-form-half-v-current,weak-form,weak-form-half-response,current-federal-court,persistence,complianceRate,0,registered-component,Simulated compliance event share; not an observed reform effect,52,0.17760416666666667,0.3872916666666667,52,0,0,52,0,descriptive-only
weak-form-half-v-current,weak-form,weak-form-half-response,current-federal-court,persistence,democraticResponsiveness,0,registered-component,Constructed responsiveness index,52,0.02394124591027582,0.0973683201791884,52,0,0,52,0,descriptive-only
weak-form-half-v-current,weak-form,weak-form-half-response,current-federal-court,persistence,vetoRelocationRisk,0,registered-component,Constructed veto-risk index with design-specific terms,52,-0.338323455391207,-0.27802110039598577,0,52,0,0,52,descriptive-only
weak-form-half-v-current,weak-form,weak-form-half-response,current-federal-court,persistence,totalInstitutionalCost,0,registered-diagnostic,Constructed cost index; no cost superiority prespecified,52,-0.09532141004369558,-0.08515764387446552,0,52,0,0,52,descriptive-only
weak-form-half-v-current,weak-form,weak-form-half-response,current-federal-court,persistence,averageLegislativeResponseDelay,0,additional-diagnostic,Conditional on positive replies; zero replies is not instantaneous response,52,0.44443111454634737,0.5623511883576678,52,0,0,52,0,descriptive-only
weak-form-off-v-current,weak-form,weak-form-no-response,current-federal-court,persistence,legislativeResponseRate,0,registered-component,Response event depends on assigned triggers and credibility rules,52,0.0,0.0,0,0,52,0,0,descriptive-only
weak-form-off-v-current,weak-form,weak-form-no-response,current-federal-court,persistence,legislativeResponseCredibility,0,registered-component,Constructed credibility score; directly scaled by the response intervention,52,-0.5922945094178229,-0.4888689236539993,0,52,0,0,52,descriptive-only
weak-form-off-v-current,weak-form,weak-form-no-response,current-federal-court,persistence,timelyLegislativeResponseRate,0,registered-component,Conditional on positive replies; no replies is not an observed late reply,52,0.0,0.0,0,0,52,0,0,descriptive-only
weak-form-off-v-current,weak-form,weak-form-no-response,current-federal-court,persistence,rightsProtection,0,registered-component,Constructed rights-protection score; not constitutional correctness,52,-0.0323020735206496,0.06335000033850743,8,8,36,44,8,descriptive-only
weak-form-off-v-current,weak-form,weak-form-no-response,current-federal-court,persistence,complianceRate,0,registered-component,Simulated compliance event share; not an observed reform effect,52,0.1625,0.38416666666666666,52,0,0,52,0,descriptive-only
weak-form-off-v-current,weak-form,weak-form-no-response,current-federal-court,persistence,democraticResponsiveness,0,registered-component,Constructed responsiveness index,52,-0.0001633706023071187,0.08454473098773486,48,0,4,48,0,descriptive-only
weak-form-off-v-current,weak-form,weak-form-no-response,current-federal-court,persistence,vetoRelocationRisk,0,registered-component,Constructed veto-risk index with design-specific terms,52,-0.3031084792508649,-0.26542242399802934,0,52,0,0,52,descriptive-only
weak-form-off-v-current,weak-form,weak-form-no-response,current-federal-court,persistence,totalInstitutionalCost,0,registered-diagnostic,Constructed cost index; no cost superiority prespecified,52,-0.09644895671352888,-0.08609285434542172,0,52,0,0,52,descriptive-only
weak-form-off-v-current,weak-form,weak-form-no-response,current-federal-court,persistence,averageLegislativeResponseDelay,0,additional-diagnostic,Conditional on positive replies; zero replies is not instantaneous response,52,0.0,0.0,0,0,52,0,0,descriptive-only
