profile,context,left,right,weightDraws,meanDifference,preferenceP025,preferenceP975,positiveDraws,negativeDraws,tiedDraws,differenceMin,differenceMax,reversesAcrossWeights
frozen-generator,appointmentPolarization-low,weak-form-no-response,weak-form-review,1000,-0.016987062135379163,-0.028846914892519292,-0.006950411700465534,0,1000,0,-0.03641735218102615,-0.003926301768256257,False
frozen-generator,appointmentPolarization-high,weak-form-half-response,weak-form-review,1000,-0.0101852263592498,-0.015981972949901568,-0.004584369250657797,0,1000,0,-0.018917646598897275,-0.0024873069231561296,False
frozen-generator,appointmentPolarization-high,weak-form-no-response,weak-form-review,1000,-0.018541810966421244,-0.029859355439489244,-0.008274690288349108,0,1000,0,-0.037530107645874944,-0.004477751617454007,False
frozen-generator,legislativeConflict-low,weak-form-half-response,weak-form-review,1000,-0.008528053478926115,-0.014175169489931395,-0.003264011371236661,0,1000,0,-0.017191189752253533,-0.0017906966950550496,False
frozen-generator,legislativeConflict-low,weak-form-no-response,weak-form-review,1000,-0.016564462806630136,-0.027889374489671208,-0.006808812799859446,0,1000,0,-0.034294019707238665,-0.003975814949913947,False
frozen-generator,legislativeConflict-high,weak-form-half-response,weak-form-review,1000,-0.013330769375982458,-0.021961378206158927,-0.006159498948818614,0,1000,0,-0.029380741572474944,-0.0031793849770953564,False
frozen-generator,legislativeConflict-high,weak-form-no-response,weak-form-review,1000,-0.02499873955375888,-0.042755824208148385,-0.010573745422757467,0,1000,0,-0.058402509539710046,-0.005458312409558408,False
frozen-generator,implementationCapacity-low,weak-form-half-response,weak-form-review,1000,-0.00766814479451861,-0.013576610536424675,-0.002494033116528469,0,1000,0,-0.017890749318323795,-0.00019320015094426157,False
frozen-generator,implementationCapacity-low,weak-form-no-response,weak-form-review,1000,-0.016536098798465376,-0.027088204063695505,-0.006867359078569171,0,1000,0,-0.034916807690172025,-0.003767148690049682,False
frozen-generator,implementationCapacity-high,weak-form-half-response,weak-form-review,1000,-0.011236547914195712,-0.017515364043606332,-0.005243132068333971,0,1000,0,-0.01974871018130131,-0.0029534237449627687,False
frozen-generator,implementationCapacity-high,weak-form-no-response,weak-form-review,1000,-0.01830844448509306,-0.029862607948957537,-0.007839679511609835,0,1000,0,-0.03679241404098288,-0.0045474578289596,False
frozen-generator,partyFragmentation-low,weak-form-half-response,weak-form-review,1000,-0.010672345163661638,-0.016428366069581025,-0.005144004952527293,0,1000,0,-0.018997891497594344,-0.00286047136209322,False
frozen-generator,partyFragmentation-low,weak-form-no-response,weak-form-review,1000,-0.01822811812604297,-0.029290622576100354,-0.008191462648517387,0,1000,0,-0.03586804754645523,-0.004854315586207081,False
frozen-generator,partyFragmentation-high,weak-form-half-response,weak-form-review,1000,-0.008310122558441864,-0.014260468006206648,-0.0032606640672009995,0,1000,0,-0.018213631477387415,-0.001783056850144682,False
frozen-generator,partyFragmentation-high,weak-form-no-response,weak-form-review,1000,-0.016858935581839006,-0.027941009200889367,-0.007138916021502121,0,1000,0,-0.03536431439410259,-0.003931235564544,False
recency-weighted-15y,baseline,weak-form-half-response,weak-form-review,1000,-0.007706781210806753,-0.013456667828547231,-0.002710996266117544,0,1000,0,-0.01738417336151654,-0.0014146739358963378,False
recency-weighted-15y,baseline,weak-form-no-response,weak-form-review,1000,-0.016146694237461092,-0.02697871489892802,-0.00648865997753546,0,1000,0,-0.03454226392591642,-0.003691718961249868,False
recency-weighted-15y,emergencyPressure-low,weak-form-half-response,weak-form-review,1000,-0.010024919424775436,-0.016813705258037423,-0.004160038417968174,0,1000,0,-0.021386317354996187,-0.0024469532560963403,False
recency-weighted-15y,emergencyPressure-low,weak-form-no-response,weak-form-review,1000,-0.020240562497991537,-0.033679580174198746,-0.008748192312138789,0,1000,0,-0.0427069321702529,-0.0052408917696092905,False
recency-weighted-15y,emergencyPressure-high,weak-form-half-response,weak-form-review,1000,-0.004027319600971372,-0.007133336027739956,-0.0012611999248550003,0,1000,0,-0.008628787402882199,-0.00027154919946570377,False
recency-weighted-15y,emergencyPressure-high,weak-form-no-response,weak-form-review,1000,-0.00878351906000245,-0.014927056820220014,-0.003323052490988177,0,1000,0,-0.018033306612376676,-0.0006861792539580858,False
recency-weighted-15y,rightsThreatRate-low,weak-form-half-response,weak-form-review,1000,-0.003954437105115687,-0.007990292417128272,0.00030100927581219305,39,961,0,-0.010506297688531618,0.0040065672912895645,True
recency-weighted-15y,rightsThreatRate-low,weak-form-no-response,weak-form-review,1000,-0.010747801800735438,-0.018282650358093393,-0.0043465807569237165,0,1000,0,-0.02336528539585081,-0.002485304582720227,False
recency-weighted-15y,rightsThreatRate-high,weak-form-half-response,weak-form-review,1000,-0.0149219973063362,-0.023575821105168926,-0.006342262476492652,0,1000,0,-0.027691698480985405,-0.0033123240379535623,False
recency-weighted-15y,rightsThreatRate-high,weak-form-no-response,weak-form-review,1000,-0.029405739752292673,-0.046158791357061274,-0.013030943058993204,0,1000,0,-0.05618900926424708,-0.006623270525433433,False
recency-weighted-15y,appointmentPolarization-low,weak-form-half-response,weak-form-review,1000,-0.008458807851159605,-0.014337885222485776,-0.003255645204348465,0,1000,0,-0.018258173827016666,-0.001853302961938308,False
recency-weighted-15y,appointmentPolarization-low,weak-form-no-response,weak-form-review,1000,-0.017007200170767182,-0.02845004553012902,-0.007066746066471669,0,1000,0,-0.03570973776437181,-0.004041876266825728,False
recency-weighted-15y,appointmentPolarization-high,weak-form-half-response,weak-form-review,1000,-0.010753896172365284,-0.01672825366661939,-0.0049065404222829985,0,1000,0,-0.019813088398618173,-0.0027021993387456034,False
recency-weighted-15y,appointmentPolarization-high,weak-form-no-response,weak-form-review,1000,-0.018663470038237564,-0.029667989605575956,-0.008646886914544117,0,1000,0,-0.03661386245225262,-0.004636984927782528,False
recency-weighted-15y,legislativeConflict-low,weak-form-half-response,weak-form-review,1000,-0.008807570403000816,-0.014405914409642838,-0.0037375144650784575,0,1000,0,-0.017375540105668552,-0.0021045739151615006,False
recency-weighted-15y,legislativeConflict-low,weak-form-no-response,weak-form-review,1000,-0.016449399750564274,-0.027107503421377244,-0.006924387552458364,0,1000,0,-0.034145877802334024,-0.00414226404527851,False
recency-weighted-15y,legislativeConflict-high,weak-form-half-response,weak-form-review,1000,-0.013149016161759864,-0.022764862765555366,-0.005423816641032079,0,1000,0,-0.03149559815826153,-0.0028712776483581504,False
recency-weighted-15y,legislativeConflict-high,weak-form-no-response,weak-form-review,1000,-0.02344892813026646,-0.03854859389735359,-0.010033970362531501,0,1000,0,-0.0516808313817656,-0.0050959519427121736,False
recency-weighted-15y,implementationCapacity-low,weak-form-half-response,weak-form-review,1000,-0.00859542655626527,-0.013988277378485845,-0.0039280285666911646,0,1000,0,-0.017756553759589067,-0.002167752455164873,False
recency-weighted-15y,implementationCapacity-low,weak-form-no-response,weak-form-review,1000,-0.01735204741647758,-0.02802021614932659,-0.007403782347072716,0,1000,0,-0.03512366940755973,-0.003983590652434255,False
recency-weighted-15y,implementationCapacity-high,weak-form-half-response,weak-form-review,1000,-0.01159659974889299,-0.018447640649036205,-0.005252714641236357,0,1000,0,-0.021259262522129174,-0.0029459492877970117,False
recency-weighted-15y,implementationCapacity-high,weak-form-no-response,weak-form-review,1000,-0.018729285800474095,-0.030306068969324484,-0.008468222640841069,0,1000,0,-0.03703584954744388,-0.004988325200217081,False
recency-weighted-15y,partyFragmentation-low,weak-form-half-response,weak-form-review,1000,-0.010658256885845332,-0.016679718059389094,-0.004975058170304636,0,1000,0,-0.019590036902680796,-0.0028168941306767614,False
recency-weighted-15y,partyFragmentation-low,weak-form-no-response,weak-form-review,1000,-0.019367231522273074,-0.030518467930538026,-0.009014089335138748,0,1000,0,-0.03657558510524095,-0.005106320795387975,False
recency-weighted-15y,partyFragmentation-high,weak-form-half-response,weak-form-review,1000,-0.007846618701851639,-0.013975899620096884,-0.002470239743486294,1,999,0,-0.01814030015190249,0.0005434901029555128,True
recency-weighted-15y,partyFragmentation-high,weak-form-no-response,weak-form-review,1000,-0.01619622664635596,-0.027273639589885556,-0.00658601983786491,0,1000,0,-0.03514456050869108,-0.003827126028474903,False
expanding-history,baseline,weak-form-half-response,weak-form-review,1000,-0.009395390170812442,-0.015149063240038563,-0.004222524234011869,0,1000,0,-0.01879830358440371,-0.0024327432717303754,False
expanding-history,baseline,weak-form-no-response,weak-form-review,1000,-0.01727550687650837,-0.028137062894700835,-0.007366195264524658,0,1000,0,-0.035481437275018846,-0.00416043522625853,False
expanding-history,emergencyPressure-low,weak-form-half-response,weak-form-review,1000,-0.010692083217162442,-0.017965934532148314,-0.004620189325952402,0,1000,0,-0.022967775079724917,-0.0028375550802436367,False
expanding-history,emergencyPressure-low,weak-form-no-response,weak-form-review,1000,-0.020834846565703263,-0.03447641765119196,-0.009168355164709305,0,1000,0,-0.04337876791192419,-0.005377478237546529,False
expanding-history,emergencyPressure-high,weak-form-half-response,weak-form-review,1000,-0.004481407421480284,-0.008164404052431719,-0.001437098647631438,0,1000,0,-0.011207467782070935,-0.0003260744151978301,False
expanding-history,emergencyPressure-high,weak-form-no-response,weak-form-review,1000,-0.010796880555369297,-0.019979477871684477,-0.0039169308268115245,0,1000,0,-0.028575193723823666,-0.001036082810646044,False
expanding-history,rightsThreatRate-low,weak-form-half-response,weak-form-review,1000,-0.005341856910919226,-0.009265854139483734,-0.0020394510923206852,0,1000,0,-0.011739749352735807,-0.0010064178026502058,False
expanding-history,rightsThreatRate-low,weak-form-no-response,weak-form-review,1000,-0.011840251657140498,-0.020125432842878696,-0.005085862516659498,0,1000,0,-0.02607211332596393,-0.002948235965444246,False
expanding-history,rightsThreatRate-high,weak-form-half-response,weak-form-review,1000,-0.015933870187678167,-0.02458223493946902,-0.007690917920766289,0,1000,0,-0.029694503619427826,-0.0040298449911970735,False
expanding-history,rightsThreatRate-high,weak-form-no-response,weak-form-review,1000,-0.0307180279697482,-0.047882120986457305,-0.014037406791486256,0,1000,0,-0.05802949446926353,-0.007034422207647162,False
expanding-history,appointmentPolarization-low,weak-form-half-response,weak-form-review,1000,-0.008567703341374877,-0.014754506524915233,-0.0030666663637843655,0,1000,0,-0.0187656602494638,-0.0012779618485555533,False
expanding-history,appointmentPolarization-low,weak-form-no-response,weak-form-review,1000,-0.016925307995175002,-0.028882218749693347,-0.006901197945027635,0,1000,0,-0.03620687756106744,-0.004012084440485952,False
expanding-history,appointmentPolarization-high,weak-form-half-response,weak-form-review,1000,-0.010670449822324908,-0.0165090571985857,-0.005061103680308677,0,1000,0,-0.01904399089259834,-0.0027163805327328205,False
expanding-history,appointmentPolarization-high,weak-form-no-response,weak-form-review,1000,-0.018058314545112936,-0.029569119515167722,-0.007933453396849019,0,1000,0,-0.03693648236279545,-0.004476864059036911,False
expanding-history,legislativeConflict-low,weak-form-half-response,weak-form-review,1000,-0.008994501736720086,-0.01466340128372818,-0.0038759321679782575,0,1000,0,-0.018128556106174587,-0.0022187799744421977,False
expanding-history,legislativeConflict-low,weak-form-no-response,weak-form-review,1000,-0.016595510553559765,-0.027550611094834452,-0.007104408760165449,0,1000,0,-0.03442973335472377,-0.0042760133994197425,False
expanding-history,legislativeConflict-high,weak-form-half-response,weak-form-review,1000,-0.015702274712321447,-0.02768140874937142,-0.0069156275151563236,0,1000,0,-0.03952226680536175,-0.003641156489412989,False
expanding-history,legislativeConflict-high,weak-form-no-response,weak-form-review,1000,-0.025202133590154007,-0.04304695012313053,-0.010618699596960412,0,1000,0,-0.058969223890094624,-0.005525830841794477,False
expanding-history,implementationCapacity-low,weak-form-half-response,weak-form-review,1000,-0.008091088044338163,-0.013506325657501683,-0.0032942246915784322,0,1000,0,-0.017593963361885123,-0.0018744147064913008,False
expanding-history,implementationCapacity-low,weak-form-no-response,weak-form-review,1000,-0.016224740779883926,-0.027086332130615016,-0.0065665674387686505,0,1000,0,-0.034954138191134576,-0.0036738948826287032,False
expanding-history,implementationCapacity-high,weak-form-half-response,weak-form-review,1000,-0.009957535499406535,-0.015905982896166532,-0.0044054436869466395,0,1000,0,-0.018781336335310872,-0.002492918692632795,False
expanding-history,implementationCapacity-high,weak-form-no-response,weak-form-review,1000,-0.017806408487653316,-0.029202341032869353,-0.00758758669060578,0,1000,0,-0.03595489538421437,-0.0043915077305894945,False
expanding-history,partyFragmentation-low,weak-form-half-response,weak-form-review,1000,-0.010574227384982048,-0.01655176786153526,-0.004692618074361468,0,1000,0,-0.019121965811296437,-0.0025916271536693403,False
expanding-history,partyFragmentation-low,weak-form-no-response,weak-form-review,1000,-0.019502257687924077,-0.030603089891507423,-0.00883709915209883,0,1000,0,-0.03621111980869396,-0.0049418473885169956,False
expanding-history,partyFragmentation-high,weak-form-half-response,weak-form-review,1000,-0.009248915033784595,-0.015227141007471488,-0.004229124021116739,0,1000,0,-0.01900497715354721,-0.0024037922022038805,False
expanding-history,partyFragmentation-high,weak-form-no-response,weak-form-review,1000,-0.018693671916812593,-0.029828971623988208,-0.008498277474677112,0,1000,0,-0.03672740507355243,-0.0044146547645516065,False
previous-term,baseline,weak-form-half-response,weak-form-review,1000,-0.007197386011425057,-0.012358935455266128,-0.0027886053269320227,0,1000,0,-0.015621387503406359,-0.0016059252459681428,False
previous-term,baseline,weak-form-no-response,weak-form-review,1000,-0.015796684878731246,-0.0260581899467637,-0.007043488419130862,0,1000,0,-0.03236543693111382,-0.0038880989691525425,False
previous-term,emergencyPressure-low,weak-form-half-response,weak-form-review,1000,-0.010375400662211064,-0.016761687878542056,-0.00469798140704123,0,1000,0,-0.020741112010291052,-0.002672413673062368,False
previous-term,emergencyPressure-low,weak-form-no-response,weak-form-review,1000,-0.019173580756469574,-0.03189457779874332,-0.008582396173993668,0,1000,0,-0.04014971210546603,-0.0049326621053648045,False
previous-term,emergencyPressure-high,weak-form-half-response,weak-form-review,1000,-0.0051173110369745365,-0.010435735307483976,-0.0015132835748807726,0,1000,0,-0.0156483297394594,-0.00046336915520783784,False
previous-term,emergencyPressure-high,weak-form-no-response,weak-form-review,1000,-0.009521359393365108,-0.017726405263110694,-0.003460995121590344,0,1000,0,-0.025743705726969934,-0.0009061946725267278,False
previous-term,rightsThreatRate-low,weak-form-half-response,weak-form-review,1000,-0.0048952797303838435,-0.008278095911536354,-0.002204651965134087,0,1000,0,-0.010902247637789797,-0.001339260578256618,False
previous-term,rightsThreatRate-low,weak-form-no-response,weak-form-review,1000,-0.009315242900242975,-0.01621335807284516,-0.0038188537475951894,0,1000,0,-0.021340474485513017,-0.0022667658901330823,False
previous-term,rightsThreatRate-high,weak-form-half-response,weak-form-review,1000,-0.01381872302987839,-0.02183518510340835,-0.006209001581605523,0,1000,0,-0.027578663986610907,-0.003462532599328161,False
previous-term,rightsThreatRate-high,weak-form-no-response,weak-form-review,1000,-0.026398504409878114,-0.04197892899517383,-0.011635995764361322,0,1000,0,-0.05333809560163705,-0.006061519205256993,False
previous-term,appointmentPolarization-low,weak-form-half-response,weak-form-review,1000,-0.007111883827012966,-0.012488185561050249,-0.0023846492808535878,0,1000,0,-0.015959034144392925,-0.0011701340176262232,False
previous-term,appointmentPolarization-low,weak-form-no-response,weak-form-review,1000,-0.014668073235064569,-0.024570801208649417,-0.006117374602241422,0,1000,0,-0.03094034721164185,-0.0035029167397956362,False
previous-term,appointmentPolarization-high,weak-form-half-response,weak-form-review,1000,-0.007552717774313031,-0.012523484346492175,-0.0031474668323889323,0,1000,0,-0.015637897381473587,-0.0018768246025028246,False
previous-term,appointmentPolarization-high,weak-form-no-response,weak-form-review,1000,-0.01444647442866294,-0.02492800055044506,-0.005545442371074033,0,1000,0,-0.031645523493860406,-0.0030660934771494786,False
previous-term,legislativeConflict-low,weak-form-half-response,weak-form-review,1000,-0.007622384680610555,-0.012523995232284636,-0.003324691903180902,0,1000,0,-0.015774169314552333,-0.0019105859775357947,False
previous-term,legislativeConflict-low,weak-form-no-response,weak-form-review,1000,-0.01492530742200431,-0.025139212018139734,-0.006619115922086031,0,1000,0,-0.03170663421672326,-0.0038937496722346587,False
previous-term,legislativeConflict-high,weak-form-half-response,weak-form-review,1000,-0.011090471386345141,-0.019075178000101868,-0.004600025120422408,0,1000,0,-0.02634413151019599,-0.0024594539174790375,False
previous-term,legislativeConflict-high,weak-form-no-response,weak-form-review,1000,-0.02161045751859727,-0.036931800104553075,-0.009127413546091078,0,1000,0,-0.05029346271073165,-0.00467220561203574,False
previous-term,implementationCapacity-low,weak-form-half-response,weak-form-review,1000,-0.006573336999296295,-0.011468746791409334,-0.002302738041730596,0,1000,0,-0.014930552038958433,-0.0010491137477554036,False
previous-term,implementationCapacity-low,weak-form-no-response,weak-form-review,1000,-0.013370152048304454,-0.022895013687860448,-0.005063560055512454,0,1000,0,-0.029801637355688748,-0.0027816456827424174,False
previous-term,implementationCapacity-high,weak-form-half-response,weak-form-review,1000,-0.009580984145500793,-0.015024134506932813,-0.004370818075183108,0,1000,0,-0.01757192979292521,-0.002457252365050233,False
previous-term,implementationCapacity-high,weak-form-no-response,weak-form-review,1000,-0.016706127476951715,-0.02703056577907522,-0.007235169257114685,0,1000,0,-0.032607421952358884,-0.004165548534720953,False
previous-term,partyFragmentation-low,weak-form-half-response,weak-form-review,1000,-0.008585593057183797,-0.014053871651853326,-0.0037107416690208704,0,1000,0,-0.016933159268175513,-0.00220441434755958,False
previous-term,partyFragmentation-low,weak-form-no-response,weak-form-review,1000,-0.016652420289856286,-0.026832849255909664,-0.007454365695563631,0,1000,0,-0.03235804521642749,-0.00430772512954003,False
previous-term,partyFragmentation-high,weak-form-half-response,weak-form-review,1000,-0.007654029917450785,-0.012979499359491017,-0.003054244801498377,0,1000,0,-0.016428226197279794,-0.0017171012412580122,False
previous-term,partyFragmentation-high,weak-form-no-response,weak-form-review,1000,-0.01411184556824181,-0.024210614329400665,-0.005547346681089183,0,1000,0,-0.030813847414762452,-0.0032932698321095355,False
