caseKey,caseName,caseDescription,scenarioKey,scenario,scenarioKind,reviewMechanism,totalCases,reviewedCases,invalidations,emergencyOrders,emergencyReliefs,meritsReviews,meritsInvalidations,overrides,intakeFilings,screenedFilings,directionalScore,reviewRate,intakeAcceptanceRate,emergencyReliefRate,meritsReviewRate,meritsInvalidationRate,emergencyReasonGivingRate,emergencyVoteDisclosureRate,emergencyPublicDisagreementRate,governmentEmergencyApplicantShare,governmentEmergencyWinRate,meritsFollowUpRate,legalStability,rightsProtection,partisanAlignment,shadowDocketAbuse,legitimacy,reversalRate,constitutionalConflict,democraticResponsiveness,legislativeResponseCredibility,caseSelectionAccess,governmentRepeatPlayerAdvantage,implementationCapacity,democraticConstitutionalism,vetoRelocationRisk,legalTransplantFeasibility,politicalCultureSensitivity,independenceAccountabilityBalance,concurrenceFragmentation,dissentIntensity,recusalRate,enBancRate,crossCheckRate,councilScreenRate,overrideRate,weakFormDeclarationRate,suspendedDeclarationRate,legislativeResponseRate,invalidationLegislativeResponseRate,averageLegislativeResponseDelay,timelyLegislativeResponseRate,rightsImpactStatementRate,ombudsmanTriggerRate,publicDefenderParticipationRate,preEnactmentReviewRate,abstractReviewRate,preliminaryReferenceRate,appealRouteRate,directActionRate,lowerCourtConflict,averageTimeToReview,replacementRate,stateCaseShare,mixedJurisdictionShare,averageLowerCourtDepth,stateFederalTension,intercourtConflict,complianceRate,defianceRate,workaroundRate,repeatedLitigationRate,executiveImplementationRate,agencyNonacquiescenceRate,legislativeReenactmentRate,invalidationLegislativeReenactmentRate,localGovernmentComplianceRate,publicTrust,legislativeConflict,courtCurbingPressure,amendmentPressure,administrativeLoad,directCourtCost,upstreamScreeningCost,capacityStrainCost,institutionalBudgetCost,institutionalDelayCost,implementationComplexity,totalInstitutionalCost,statuteDispositions,statuteNullifications,statuteNullificationRate
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,accountability-retention-court,Retention-election accountability court,court_variant,strong_form_court,9600,9600,2045,4601,1534,6143,2045,326,399927,390327,0.584,1.000,0.024,0.333,0.640,0.333,0.691,0.597,0.266,0.809,0.311,0.249,0.858,0.720,0.147,0.173,0.692,0.213,0.285,0.461,0.547,0.431,0.362,0.603,0.621,0.409,0.642,0.762,0.808,0.241,0.240,0.042,0.000,0.000,0.000,0.159,0.000,0.000,0.034,0.159,0.572,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.584,0.697,0.338,0.279,2.429,0.586,0.530,0.449,0.239,0.134,0.260,0.453,0.153,0.057,0.099,0.273,0.043,0.863,0.796,0.652,0.526,0.325,0.696,0.475,0.398,0.440,0.548,0.488,3927,1093,0.278
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,independence-accountability-hybrid,Hybrid court balancing independence and accountability,court_variant,strong_form_court,9600,9600,3500,3684,1568,9600,3500,0,404177,394577,0.616,1.000,0.024,0.426,1.000,0.365,0.888,0.713,0.108,0.810,0.398,1.000,0.911,0.741,0.147,0.010,0.747,0.365,0.243,0.460,0.565,0.431,0.362,0.591,0.644,0.434,0.640,0.766,0.929,0.138,0.253,0.052,0.783,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.584,0.348,0.338,0.279,2.429,0.586,0.530,0.507,0.205,0.140,0.229,0.511,0.148,0.067,0.102,0.313,0.058,0.809,0.797,0.523,0.704,0.462,0.697,0.474,0.532,0.510,0.642,0.550,6206,1884,0.304
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,weak-form-review,Weak-form review with legislative reply,synthetic_mechanism,weak_form_review,9600,9600,0,4677,1876,6075,0,0,13595,3995,0.652,1.000,0.706,0.401,0.633,0.000,0.717,0.680,0.265,0.807,0.375,0.246,0.922,0.698,0.128,0.179,0.714,0.000,0.254,0.474,0.586,0.523,0.362,0.633,0.662,0.199,0.677,0.797,0.947,0.117,0.256,0.042,0.000,0.000,0.000,0.000,0.294,0.000,0.329,0.000,0.448,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.584,0.301,0.338,0.279,2.429,0.586,0.530,0.578,0.149,0.107,0.209,0.580,0.093,0.043,0.000,0.389,0.066,0.526,0.444,0.460,0.507,0.314,0.410,0.323,0.325,0.403,0.417,0.369,3870,0,0.000
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,suspended-declaration-review,Suspended declarations of invalidity,synthetic_mechanism,suspended_declaration,9600,9600,4424,3675,1655,9600,4424,0,13087,3487,0.648,1.000,0.734,0.450,1.000,0.461,0.856,0.686,0.112,0.810,0.422,1.000,0.922,0.705,0.154,0.011,0.751,0.461,0.262,0.504,0.614,0.526,0.362,0.626,0.659,0.221,0.622,0.870,0.929,0.156,0.260,0.041,0.000,0.000,0.000,0.000,0.000,0.461,0.467,1.000,0.341,0.716,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.584,0.350,0.338,0.279,2.429,0.586,0.530,0.491,0.214,0.152,0.229,0.497,0.155,0.075,0.103,0.302,0.048,0.878,0.846,0.564,0.500,0.332,0.462,0.319,0.354,0.414,0.461,0.392,6206,2366,0.381
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,override-clause-review,Strong-form review with explicit override clause,synthetic_mechanism,legislative_override_clause,9600,9600,2791,4676,2128,6102,2791,0,82476,72876,0.576,1.000,0.116,0.455,0.636,0.457,0.678,0.613,0.275,0.809,0.431,0.252,0.857,0.721,0.159,0.186,0.697,0.291,0.274,0.441,0.550,0.442,0.362,0.617,0.618,0.369,0.631,0.901,0.917,0.190,0.277,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.176,0.606,0.642,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.584,0.295,0.338,0.279,2.429,0.586,0.530,0.435,0.245,0.154,0.272,0.453,0.169,0.071,0.103,0.269,0.040,0.898,0.843,0.665,0.507,0.314,0.586,0.379,0.363,0.423,0.491,0.431,3917,1484,0.379
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,pre-enactment-review,Pre-enactment review before laws take effect,synthetic_mechanism,pre_enactment_review,9600,9600,2017,4670,1860,6092,2017,0,14128,4528,0.612,1.000,0.680,0.398,0.635,0.331,0.745,0.712,0.246,0.806,0.373,0.249,0.916,0.750,0.132,0.176,0.722,0.210,0.279,0.449,0.554,0.520,0.362,0.611,0.626,0.528,0.579,0.871,0.919,0.119,0.251,0.071,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.339,0.000,0.000,0.800,0.915,0.000,0.000,0.000,0.750,0.584,0.541,0.338,0.279,2.429,0.586,0.530,0.483,0.219,0.140,0.258,0.489,0.137,0.064,0.103,0.302,0.050,0.828,0.771,0.594,0.767,0.445,0.421,0.390,0.453,0.466,0.528,0.447,3897,1086,0.279
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,abstract-review-tribunal,Abstract review tribunal,synthetic_mechanism,abstract_review,9600,9600,3982,3061,1429,9600,3982,0,12628,3028,0.618,1.000,0.760,0.467,1.000,0.415,0.852,0.694,0.121,0.814,0.434,1.000,0.900,0.762,0.160,0.015,0.738,0.415,0.250,0.456,0.566,0.529,0.362,0.613,0.645,0.325,0.563,0.938,0.878,0.156,0.263,0.072,0.781,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.339,0.000,0.000,0.800,0.915,0.000,0.000,0.000,0.750,0.584,0.338,0.338,0.279,2.429,0.586,0.530,0.499,0.211,0.143,0.234,0.506,0.155,0.073,0.098,0.304,0.052,0.857,0.828,0.570,0.701,0.438,0.452,0.350,0.454,0.476,0.534,0.446,6206,2126,0.343
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,ombudsman-triggered-review,Ombudsman-triggered constitutional review,synthetic_mechanism,ombudsman_triggered_review,9600,9600,3089,4667,2295,6115,3089,0,1017190,1007590,0.581,1.000,0.009,0.492,0.637,0.505,0.710,0.667,0.276,0.805,0.464,0.253,0.850,0.719,0.160,0.186,0.698,0.322,0.295,0.438,0.559,0.429,0.362,0.601,0.604,0.526,0.603,0.813,0.934,0.157,0.249,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.263,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.584,0.357,0.338,0.279,2.429,0.586,0.530,0.437,0.250,0.150,0.271,0.449,0.175,0.070,0.104,0.253,0.037,0.917,0.857,0.694,0.511,0.336,0.880,0.482,0.450,0.458,0.495,0.523,3982,1656,0.416
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,constitutional-public-defender,Constitutional public defender access model,synthetic_mechanism,constitutional_public_defender,9600,9600,4585,3740,1854,9600,4585,0,1125137,1115537,0.603,1.000,0.009,0.496,1.000,0.478,0.871,0.678,0.125,0.818,0.466,1.000,0.878,0.770,0.170,0.012,0.734,0.478,0.256,0.454,0.569,0.429,0.362,0.602,0.633,0.516,0.631,0.779,0.928,0.175,0.254,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.320,0.000,0.000,0.000,0.000,0.000,0.750,0.584,0.352,0.338,0.279,2.429,0.586,0.530,0.474,0.221,0.156,0.246,0.493,0.167,0.080,0.108,0.289,0.046,0.894,0.858,0.599,0.501,0.336,0.861,0.478,0.446,0.459,0.528,0.524,6206,2450,0.395
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,rights-impact-statement-review,Rights-impact statements before review,synthetic_mechanism,rights_impact_statement,9600,9600,1817,4718,1728,6057,1817,0,14136,4536,0.642,1.000,0.679,0.366,0.631,0.300,0.742,0.732,0.252,0.809,0.337,0.249,0.919,0.794,0.126,0.174,0.741,0.189,0.275,0.452,0.556,0.520,0.362,0.610,0.648,0.519,0.698,0.747,0.843,0.110,0.233,0.072,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.800,0.915,0.000,0.000,0.000,0.750,0.584,0.556,0.338,0.279,2.429,0.586,0.530,0.486,0.209,0.139,0.245,0.497,0.139,0.059,0.088,0.309,0.053,0.800,0.744,0.565,0.765,0.420,0.440,0.391,0.431,0.467,0.544,0.448,3906,960,0.246
synthetic-baseline,Synthetic baseline,Synthetic docket using the same world assumptions as the imported comparisons.,mandatory-legislative-response,Mandatory legislative response cycles,synthetic_mechanism,mandatory_legislative_response,9600,9600,3760,3668,1310,9600,3760,195,13154,3554,0.629,1.000,0.730,0.357,1.000,0.392,0.864,0.700,0.110,0.815,0.333,1.000,0.913,0.714,0.134,0.009,0.775,0.392,0.211,0.468,0.569,0.526,0.362,0.624,0.657,0.238,0.614,0.949,0.926,0.130,0.239,0.043,0.000,0.000,0.000,0.052,0.000,0.000,0.405,1.000,0.463,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.584,0.371,0.338,0.279,2.429,0.586,0.530,0.504,0.188,0.152,0.228,0.522,0.146,0.074,0.107,0.320,0.066,0.734,0.762,0.446,0.500,0.315,0.485,0.321,0.342,0.415,0.524,0.404,6206,2034,0.328
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,current-federal-court,Current-style federal supreme court,court_variant,strong_form_court,9600,9600,1311,825,261,8775,1311,0,460086,450486,0.630,1.000,0.021,0.316,0.914,0.149,0.027,0.310,0.428,0.829,0.348,0.000,0.943,0.793,0.137,0.052,0.705,0.137,0.209,0.591,0.559,0.340,0.339,0.629,0.693,0.541,0.644,0.735,0.647,0.208,0.229,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.396,0.603,0.109,0.331,0.300,2.397,0.526,0.466,0.808,0.043,0.050,0.066,0.775,0.024,0.018,0.040,0.634,0.203,0.164,0.048,0.063,0.420,0.301,0.663,0.391,0.370,0.440,0.414,0.436,5749,745,0.130
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,eighteen-year-terms,Staggered 18-year nonrenewable terms,court_variant,strong_form_court,9600,9600,1019,818,180,8782,1019,0,460051,450451,0.643,1.000,0.021,0.220,0.915,0.116,0.028,0.335,0.358,0.795,0.255,0.000,0.953,0.799,0.124,0.050,0.720,0.106,0.201,0.604,0.558,0.340,0.339,0.629,0.701,0.532,0.644,0.734,0.743,0.187,0.183,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.396,0.603,0.272,0.331,0.300,2.397,0.526,0.466,0.807,0.037,0.050,0.063,0.782,0.022,0.017,0.031,0.635,0.233,0.133,0.033,0.047,0.428,0.306,0.663,0.405,0.374,0.441,0.416,0.440,5756,585,0.102
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,fifteen-justice-commission,Fifteen-justice supermajority commission court,court_variant,strong_form_court,9600,9600,919,100,0,9500,919,0,464565,454965,0.691,1.000,0.021,0.000,0.990,0.097,0.590,0.500,0.150,1.000,0.000,0.000,0.973,0.805,0.106,0.003,0.803,0.096,0.183,0.615,0.575,0.340,0.339,0.626,0.726,0.446,0.644,0.733,0.813,0.143,0.149,0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.396,0.603,0.340,0.331,0.300,2.397,0.526,0.466,0.832,0.026,0.039,0.053,0.822,0.016,0.013,0.032,0.656,0.471,0.093,0.018,0.019,0.432,0.360,0.663,0.407,0.429,0.444,0.437,0.458,6206,509,0.082
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,supermajority-invalidation,Supermajority required to invalidate laws,court_variant,strong_form_court,9600,9600,933,102,2,9498,933,0,464534,454934,0.684,1.000,0.021,0.020,0.989,0.098,0.598,0.422,0.147,0.990,0.020,0.000,0.974,0.805,0.121,0.003,0.770,0.097,0.183,0.614,0.567,0.340,0.339,0.625,0.721,0.456,0.643,0.737,0.680,0.179,0.190,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.396,0.603,0.113,0.331,0.300,2.397,0.526,0.466,0.846,0.024,0.039,0.053,0.814,0.018,0.012,0.031,0.657,0.388,0.098,0.020,0.019,0.413,0.301,0.663,0.386,0.370,0.441,0.474,0.445,6208,526,0.085
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,strict-recusal-court,Strict recusal with substitute justices,court_variant,strong_form_court,9600,9600,822,96,0,9504,822,0,464574,454974,0.703,1.000,0.021,0.000,0.990,0.086,0.677,0.708,0.156,1.000,0.000,0.000,0.974,0.806,0.105,0.003,0.835,0.086,0.181,0.618,0.582,0.340,0.339,0.623,0.732,0.444,0.644,0.736,0.833,0.144,0.143,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.396,0.603,0.344,0.331,0.300,2.397,0.526,0.466,0.852,0.020,0.035,0.052,0.840,0.016,0.011,0.030,0.667,0.587,0.086,0.016,0.015,0.433,0.359,0.663,0.408,0.428,0.444,0.471,0.464,6205,451,0.073
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,court_variant,strong_form_court,9600,9600,1249,54,0,9600,1249,0,464833,455233,0.706,1.000,0.021,0.000,1.000,0.130,0.870,0.741,0.037,1.000,0.000,1.000,0.966,0.802,0.115,0.000,0.822,0.130,0.189,0.605,0.589,0.340,0.339,0.624,0.726,0.454,0.643,0.737,0.730,0.153,0.192,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.396,0.603,0.272,0.331,0.300,2.397,0.526,0.466,0.845,0.023,0.035,0.054,0.833,0.018,0.012,0.033,0.663,0.468,0.098,0.020,0.019,0.424,0.306,0.663,0.400,0.375,0.443,0.470,0.449,6263,699,0.112
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,panel-en-banc-review,Panel review with en banc safety valve,court_variant,strong_form_court,9600,9600,1003,118,0,9482,1003,0,464444,454844,0.695,1.000,0.021,0.000,0.988,0.106,0.686,0.585,0.127,0.992,0.000,0.000,0.971,0.805,0.105,0.004,0.815,0.104,0.185,0.613,0.580,0.340,0.339,0.622,0.727,0.443,0.644,0.735,0.845,0.131,0.124,0.035,0.186,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.396,0.603,0.344,0.331,0.300,2.397,0.526,0.466,0.831,0.029,0.039,0.055,0.823,0.016,0.014,0.024,0.659,0.473,0.093,0.018,0.021,0.510,0.407,0.663,0.422,0.474,0.477,0.448,0.481,6199,562,0.091
