gapRank,queuePriorityRank,promotionReadiness,claimBoundary,actionType,profileKey,court,targetFamily,coverageStatus,candidateRows,verifiedCandidateRows,pendingVerificationRows,directAnalogueCandidateRows,roadmapRows,topCandidateFile,topCandidateLabel,topCandidateStatus,topCandidateSourceStatus,blockingReason,recommendedAction
11,11,contextual-source-documentation,"contextual source surface, not validation-family gap",source-promotion,germany-bverfg-2024,German Federal Constitutional Court,cost,stress-only,0,0,0,0,0,,,,,current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
12,12,contextual-source-documentation,"contextual source surface, not validation-family gap",source-promotion,germany-bverfg-2024,German Federal Constitutional Court,political-context,stress-only,0,0,0,0,0,,,,,current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
13,13,contextual-source-documentation,"contextual source surface, not validation-family gap",source-promotion,south-africa-constcourt-recent,Constitutional Court of South Africa,cost,stress-only,0,0,0,0,0,,,,,current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
14,14,contextual-source-documentation,"contextual source surface, not validation-family gap",source-promotion,south-africa-constcourt-recent,Constitutional Court of South Africa,political-context,stress-only,0,0,0,0,0,,,,,current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
15,15,contextual-source-documentation,"contextual source surface, not validation-family gap",source-acquisition,scdb-modern-merits-2000-2024,U.S. Supreme Court,political-context,missing,0,0,0,0,1,,,,,current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,collect contextual source pack; do not count as source-range validation without a raw simulator analogue
16,16,contextual-source-documentation,"contextual source surface, not validation-family gap",source-acquisition,scotus-emergency-2024-2025,U.S. Supreme Court,political-context,missing,0,0,0,0,1,,,,,current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,collect contextual source pack; do not count as source-range validation without a raw simulator analogue
17,17,candidate-triage-needed,candidate not yet promotable,candidate-verification,germany-bverfg-2024,German Federal Constitutional Court,legislative-response,missing,1,0,0,0,0,config/research/legislative-response-source-candidates.csv,Legislative response to unconstitutional-without-nullity decisions,qualitative,not-available-in-report,candidate lacks a verified source URL or direct simulator analogue,verify primary source URL and numerator/denominator before promotion
18,18,candidate-triage-needed,candidate not yet promotable,candidate-verification,germany-bverfg-2024,German Federal Constitutional Court,merits,missing,1,0,1,0,0,config/research/comparative-calibration-source-candidates.csv,Constitutional complaint success or grant rate,context-only,pending-url-verification,candidate lacks a verified source URL or direct simulator analogue,verify primary source URL and numerator/denominator before promotion
19,19,candidate-triage-needed,candidate not yet promotable,candidate-verification,south-africa-constcourt-recent,Constitutional Court of South Africa,legislative-response,missing,1,0,0,0,0,config/research/legislative-response-source-candidates.csv,Legislative response to suspended declarations of invalidity,qualitative,not-available-in-report,candidate lacks a verified source URL or direct simulator analogue,verify primary source URL and numerator/denominator before promotion
20,20,source-acquisition-needed,no registered source candidate,source-acquisition,canada-charter-dialogue-1982-2007,Supreme Court of Canada,remedy-timing,missing,0,0,0,0,1,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
21,21,source-acquisition-needed,no registered source candidate,source-acquisition,canada-scc-2024,Supreme Court of Canada,legislative-response,missing,0,0,0,0,1,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
22,22,source-acquisition-needed,no registered source candidate,source-acquisition,canada-scc-2024,Supreme Court of Canada,remedy-timing,missing,0,0,0,0,1,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
23,23,source-acquisition-needed,no registered source candidate,source-acquisition,canada-scc-recent,Supreme Court of Canada,legislative-response,missing,0,0,0,0,1,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
24,24,source-acquisition-needed,no registered source candidate,source-acquisition,canada-scc-recent,Supreme Court of Canada,remedy-timing,missing,0,0,0,0,1,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
25,25,source-acquisition-needed,no registered source candidate,source-acquisition,france-conseil-qpc,French Constitutional Council,case-selection,missing,0,0,0,0,2,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
26,26,source-acquisition-needed,no registered source candidate,source-acquisition,gallup-court-confidence-2024,U.S. Supreme Court,case-selection,missing,0,0,0,0,1,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
27,27,source-acquisition-needed,no registered source candidate,source-acquisition,gallup-court-confidence-2024,U.S. Supreme Court,compliance,missing,0,0,0,0,1,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
28,28,source-acquisition-needed,no registered source candidate,source-acquisition,gallup-court-confidence-2024,U.S. Supreme Court,doctrine-mix,missing,0,0,0,0,1,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
29,29,source-acquisition-needed,no registered source candidate,source-acquisition,gallup-court-confidence-2024,U.S. Supreme Court,emergency,missing,0,0,0,0,1,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
30,30,source-acquisition-needed,no registered source candidate,source-acquisition,gallup-court-confidence-2024,U.S. Supreme Court,merits,missing,0,0,0,0,1,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
31,31,source-acquisition-needed,no registered source candidate,source-acquisition,germany-bverfg-2024,German Federal Constitutional Court,case-selection,missing,0,0,0,0,2,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
32,32,source-acquisition-needed,no registered source candidate,source-acquisition,germany-bverfg-2024,German Federal Constitutional Court,compliance,missing,0,0,0,0,1,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
33,33,source-acquisition-needed,no registered source candidate,source-acquisition,scdb-modern-merits-2000-2024,U.S. Supreme Court,case-selection,missing,0,0,0,0,1,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
34,34,source-acquisition-needed,no registered source candidate,source-acquisition,scdb-modern-merits-2000-2024,U.S. Supreme Court,compliance,missing,0,0,0,0,1,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
35,35,source-acquisition-needed,no registered source candidate,source-acquisition,scdb-modern-merits-2000-2024,U.S. Supreme Court,emergency,missing,0,0,0,0,1,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
36,36,source-acquisition-needed,no registered source candidate,source-acquisition,scdb-modern-merits-2000-2024,U.S. Supreme Court,merits,missing,0,0,0,0,1,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
37,37,source-acquisition-needed,no registered source candidate,source-acquisition,scotus-emergency-2024-2025,U.S. Supreme Court,case-selection,missing,0,0,0,0,1,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
38,38,source-acquisition-needed,no registered source candidate,source-acquisition,scotus-emergency-2024-2025,U.S. Supreme Court,compliance,missing,0,0,0,0,1,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
39,39,source-acquisition-needed,no registered source candidate,source-acquisition,scotus-emergency-2024-2025,U.S. Supreme Court,doctrine-mix,missing,0,0,0,0,1,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
40,40,source-acquisition-needed,no registered source candidate,source-acquisition,scotus-emergency-2024-2025,U.S. Supreme Court,merits,missing,0,0,0,0,1,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
41,41,source-acquisition-needed,no registered source candidate,source-acquisition,south-africa-constcourt-recent,Constitutional Court of South Africa,compliance,missing,0,0,0,0,1,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
42,42,source-acquisition-needed,no registered source candidate,source-acquisition,south-africa-constcourt-recent,Constitutional Court of South Africa,remedy-timing,missing,0,0,0,0,1,,,,,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
43,43,context-only-blocked,verified context but not validation evidence,candidate-verification,canada-scc-2024,Supreme Court of Canada,case-selection,missing,2,2,0,0,0,config/research/comparative-calibration-source-candidates.csv,Post-leave hearing time,verified-context-only,verified:https://scc-csc.gc.ca/pdf/YIR_2024_EN.pdf,candidate has a verified URL but is not a direct simulator analogue,keep as contextual evidence unless recoded to a direct simulator analogue
44,44,context-only-blocked,verified context but not validation evidence,candidate-verification,canada-scc-2024,Supreme Court of Canada,emergency,missing,1,1,0,0,0,config/research/comparative-calibration-source-candidates.csv,Merits nonunanimity rate,verified-context-only,verified:https://scc-csc.gc.ca/pdf/YIR_2024_EN.pdf,candidate has a verified URL but is not a direct simulator analogue,keep as contextual evidence unless recoded to a direct simulator analogue
45,45,context-only-blocked,verified context but not validation evidence,candidate-verification,canada-scc-recent,Supreme Court of Canada,merits,missing,1,1,0,0,0,config/research/comparative-calibration-source-candidates.csv,Section 7 Charter claimant success context,verified-context-only,verified:https://macdonaldlaurier.ca/unprincipled-the-supreme-courts-expansion-of-fundamental-justice-under-section-7-of-the-charter-dave-snow/,candidate has a verified URL but is not a direct simulator analogue,keep as contextual evidence unless recoded to a direct simulator analogue
