gapRank,queuePriorityRank,acquisitionRank,promotionReadiness,claimBoundary,actionType,profileKey,court,targetFamily,coverageStatus,roadmapSourceFile,roadmapProfileKey,roadmapCourtOrSystem,period,roadmapTargetFamily,targetKey,neededObservedValue,neededDenominator,preferredSources,validationUseIfDocumented,notes,recommendedAcquisition
26,26,1,source-acquisition-needed,no registered source candidate,source-acquisition,gallup-court-confidence-2024,U.S. Supreme Court,case-selection,missing,config/research/empirical-target-roadmap.csv,us-scotus-modern,U.S. Supreme Court,2020-2026,case_selection,intake_acceptance_rate,grants or noted probable jurisdiction,total docketed review petitions,Supreme Court Journal; Court annual reports,true,Use as certiorari/intake target rather than review outcome validation.,collect URL denominator coding rule and construction note for validation promotion review
27,27,1,source-acquisition-needed,no registered source candidate,source-acquisition,gallup-court-confidence-2024,U.S. Supreme Court,compliance,missing,config/research/empirical-target-roadmap.csv,us-scotus-modern,U.S. Supreme Court,2000-2025,compliance,executive_implementation_rate,implemented federal-government losses,total federal-government losses,agency implementation studies; Congressional Research Service; agency rulemaking dockets,false,Needs case-matched implementation coding before validation use.,collect as contextual source unless a direct simulator analogue can be documented
28,28,1,source-acquisition-needed,no registered source candidate,source-acquisition,gallup-court-confidence-2024,U.S. Supreme Court,doctrine-mix,missing,config/research/empirical-target-roadmap.csv,us-scotus-modern,U.S. Supreme Court,2000-2025,docket_mix,doctrine_share_by_area,case counts by issue/doctrine,total merits cases by period,Supreme Court Database issue-area data; Supreme Court Journal,false,Convert to config/calibration rows only when doctrine coding and denominators are archived.,collect as contextual source unless a direct simulator analogue can be documented
29,29,1,source-acquisition-needed,no registered source candidate,source-acquisition,gallup-court-confidence-2024,U.S. Supreme Court,emergency,missing,config/research/empirical-target-roadmap.csv,us-scotus-modern,U.S. Supreme Court,2020-2026,emergency_docket,emergency_relief_rate,substantive emergency grants,total emergency applications,SCOTUSblog emergency docket summaries; Supreme Court orders lists,true,Separate interim relief from later merits disposition.,collect URL denominator coding rule and construction note for validation promotion review
30,30,1,source-acquisition-needed,no registered source candidate,source-acquisition,gallup-court-confidence-2024,U.S. Supreme Court,merits,missing,config/research/empirical-target-roadmap.csv,us-scotus-modern,U.S. Supreme Court,2000-2025,review_activity,merits_invalidation_rate,constitutional invalidations,total constitutional merits cases,Supreme Court Database decision direction and declaration-unconstitutional fields,true,Requires direct mapping from case issue coding to simulator meritsInvalidationRate.,collect URL denominator coding rule and construction note for validation promotion review
31,31,1,source-acquisition-needed,no registered source candidate,source-acquisition,germany-bverfg-2024,German Federal Constitutional Court,case-selection,missing,config/research/empirical-target-roadmap.csv,germany-bverfg,German Federal Constitutional Court,2000-2025,procedure,abstract_review_frequency,abstract review matters,total matters or constitutional-review matters,BVerfG annual statistics,true,Maps to abstractReviewRate only if filing categories are aligned.,collect URL denominator coding rule and construction note for validation promotion review
31,31,2,source-acquisition-needed,no registered source candidate,source-acquisition,germany-bverfg-2024,German Federal Constitutional Court,case-selection,missing,config/research/empirical-target-roadmap.csv,germany-bverfg,German Federal Constitutional Court,2000-2025,case_selection,complaint_success_rate,successful constitutional complaints,total constitutional complaints,BVerfG annual statistics,true,Needed to replace broad synthesis rows with denominator-backed targets.,collect URL denominator coding rule and construction note for validation promotion review
32,32,1,source-acquisition-needed,no registered source candidate,source-acquisition,germany-bverfg-2024,German Federal Constitutional Court,compliance,missing,config/research/empirical-target-roadmap.csv,germany-bverfg,German Federal Constitutional Court,2000-2025,compliance,implementation_follow_up_rate,implemented or legislatively corrected decisions,total decisions requiring follow-up,official annual reports; German law journals,false,Needs reproducible case list and coding rule.,collect as contextual source unless a direct simulator analogue can be documented
33,33,1,source-acquisition-needed,no registered source candidate,source-acquisition,scdb-modern-merits-2000-2024,U.S. Supreme Court,case-selection,missing,config/research/empirical-target-roadmap.csv,us-scotus-modern,U.S. Supreme Court,2020-2026,case_selection,intake_acceptance_rate,grants or noted probable jurisdiction,total docketed review petitions,Supreme Court Journal; Court annual reports,true,Use as certiorari/intake target rather than review outcome validation.,collect URL denominator coding rule and construction note for validation promotion review
34,34,1,source-acquisition-needed,no registered source candidate,source-acquisition,scdb-modern-merits-2000-2024,U.S. Supreme Court,compliance,missing,config/research/empirical-target-roadmap.csv,us-scotus-modern,U.S. Supreme Court,2000-2025,compliance,executive_implementation_rate,implemented federal-government losses,total federal-government losses,agency implementation studies; Congressional Research Service; agency rulemaking dockets,false,Needs case-matched implementation coding before validation use.,collect as contextual source unless a direct simulator analogue can be documented
35,35,1,source-acquisition-needed,no registered source candidate,source-acquisition,scdb-modern-merits-2000-2024,U.S. Supreme Court,emergency,missing,config/research/empirical-target-roadmap.csv,us-scotus-modern,U.S. Supreme Court,2020-2026,emergency_docket,emergency_relief_rate,substantive emergency grants,total emergency applications,SCOTUSblog emergency docket summaries; Supreme Court orders lists,true,Separate interim relief from later merits disposition.,collect URL denominator coding rule and construction note for validation promotion review
36,36,1,source-acquisition-needed,no registered source candidate,source-acquisition,scdb-modern-merits-2000-2024,U.S. Supreme Court,merits,missing,config/research/empirical-target-roadmap.csv,us-scotus-modern,U.S. Supreme Court,2000-2025,review_activity,merits_invalidation_rate,constitutional invalidations,total constitutional merits cases,Supreme Court Database decision direction and declaration-unconstitutional fields,true,Requires direct mapping from case issue coding to simulator meritsInvalidationRate.,collect URL denominator coding rule and construction note for validation promotion review
37,37,1,source-acquisition-needed,no registered source candidate,source-acquisition,scotus-emergency-2024-2025,U.S. Supreme Court,case-selection,missing,config/research/empirical-target-roadmap.csv,us-scotus-modern,U.S. Supreme Court,2020-2026,case_selection,intake_acceptance_rate,grants or noted probable jurisdiction,total docketed review petitions,Supreme Court Journal; Court annual reports,true,Use as certiorari/intake target rather than review outcome validation.,collect URL denominator coding rule and construction note for validation promotion review
38,38,1,source-acquisition-needed,no registered source candidate,source-acquisition,scotus-emergency-2024-2025,U.S. Supreme Court,compliance,missing,config/research/empirical-target-roadmap.csv,us-scotus-modern,U.S. Supreme Court,2000-2025,compliance,executive_implementation_rate,implemented federal-government losses,total federal-government losses,agency implementation studies; Congressional Research Service; agency rulemaking dockets,false,Needs case-matched implementation coding before validation use.,collect as contextual source unless a direct simulator analogue can be documented
39,39,1,source-acquisition-needed,no registered source candidate,source-acquisition,scotus-emergency-2024-2025,U.S. Supreme Court,doctrine-mix,missing,config/research/empirical-target-roadmap.csv,us-scotus-modern,U.S. Supreme Court,2000-2025,docket_mix,doctrine_share_by_area,case counts by issue/doctrine,total merits cases by period,Supreme Court Database issue-area data; Supreme Court Journal,false,Convert to config/calibration rows only when doctrine coding and denominators are archived.,collect as contextual source unless a direct simulator analogue can be documented
40,40,1,source-acquisition-needed,no registered source candidate,source-acquisition,scotus-emergency-2024-2025,U.S. Supreme Court,merits,missing,config/research/empirical-target-roadmap.csv,us-scotus-modern,U.S. Supreme Court,2000-2025,review_activity,merits_invalidation_rate,constitutional invalidations,total constitutional merits cases,Supreme Court Database decision direction and declaration-unconstitutional fields,true,Requires direct mapping from case issue coding to simulator meritsInvalidationRate.,collect URL denominator coding rule and construction note for validation promotion review
41,41,1,source-acquisition-needed,no registered source candidate,source-acquisition,south-africa-constcourt-recent,Constitutional Court of South Africa,compliance,missing,config/research/empirical-target-roadmap.csv,south-africa-constcourt,Constitutional Court of South Africa,2000-2025,compliance,local_government_compliance_rate,complied local-government orders,total local-government orders,Constitutional Court monitoring reports; implementation scholarship,false,Needs case-level coding and clear time horizon.,collect as contextual source unless a direct simulator analogue can be documented
42,42,1,source-acquisition-needed,no registered source candidate,source-acquisition,south-africa-constcourt-recent,Constitutional Court of South Africa,remedy-timing,missing,config/research/empirical-target-roadmap.csv,south-africa-constcourt,Constitutional Court of South Africa,2000-2025,remedy,suspended_order_rate,suspended invalidity or structural remedy orders,total constitutional invalidations,SAFLII; Constitutional Court annual reports,true,Useful for suspended declarations and implementation capacity.,collect URL denominator coding rule and construction note for validation promotion review
