priorityRank,actionType,profileKey,court,targetFamily,coverageStatus,outOfRangeRows,largestGap,largestGapTarget,candidateRows,verifiedCandidateRows,pendingVerificationRows,directAnalogueCandidateRows,roadmapRows,topCandidateFile,topCandidateLabel,topCandidateStatus,topCandidateSourceStatus,promotionReadiness,claimBoundary,blockingReason,recommendedAction
14,source-promotion,south-africa-constcourt-recent,Constitutional Court of South Africa,political-context,stress-only,0,0.000,,0,0,0,0,0,,,,,contextual-source-documentation,"contextual source surface, not validation-family gap",current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,document raw source trail for contextual use; do not promote normalized cost or public-trust proxy rows into validation
15,source-acquisition,scdb-modern-merits-2000-2024,U.S. Supreme Court,political-context,missing,0,0.000,,0,0,0,0,1,,,,,contextual-source-documentation,"contextual source surface, not validation-family gap",current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,collect contextual source pack; do not count as source-range validation without a raw simulator analogue
16,source-acquisition,scotus-emergency-2024-2025,U.S. Supreme Court,political-context,missing,0,0.000,,0,0,0,0,1,,,,,contextual-source-documentation,"contextual source surface, not validation-family gap",current validation policy excludes normalized cost and public-trust proxy rows from source-range validation,collect contextual source pack; do not count as source-range validation without a raw simulator analogue
17,candidate-verification,germany-bverfg-2024,German Federal Constitutional Court,legislative-response,missing,0,0.000,,1,0,0,0,0,config/research/legislative-response-source-candidates.csv,Legislative response to unconstitutional-without-nullity decisions,qualitative,not-available-in-report,candidate-triage-needed,candidate not yet promotable,candidate lacks a verified source URL or direct simulator analogue,verify primary source URL and numerator/denominator before promotion
18,candidate-verification,germany-bverfg-2024,German Federal Constitutional Court,merits,missing,0,0.000,,1,0,1,0,0,config/research/comparative-calibration-source-candidates.csv,Constitutional complaint success or grant rate,context-only,pending-url-verification,candidate-triage-needed,candidate not yet promotable,candidate lacks a verified source URL or direct simulator analogue,verify primary source URL and numerator/denominator before promotion
19,candidate-verification,south-africa-constcourt-recent,Constitutional Court of South Africa,legislative-response,missing,0,0.000,,1,0,0,0,0,config/research/legislative-response-source-candidates.csv,Legislative response to suspended declarations of invalidity,qualitative,not-available-in-report,candidate-triage-needed,candidate not yet promotable,candidate lacks a verified source URL or direct simulator analogue,verify primary source URL and numerator/denominator before promotion
20,source-acquisition,canada-charter-dialogue-1982-2007,Supreme Court of Canada,remedy-timing,missing,0,0.000,,0,0,0,0,1,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
21,source-acquisition,canada-scc-2024,Supreme Court of Canada,legislative-response,missing,0,0.000,,0,0,0,0,1,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
22,source-acquisition,canada-scc-2024,Supreme Court of Canada,remedy-timing,missing,0,0.000,,0,0,0,0,1,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
23,source-acquisition,canada-scc-recent,Supreme Court of Canada,legislative-response,missing,0,0.000,,0,0,0,0,1,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
24,source-acquisition,canada-scc-recent,Supreme Court of Canada,remedy-timing,missing,0,0.000,,0,0,0,0,1,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
25,source-acquisition,france-conseil-qpc,French Constitutional Council,case-selection,missing,0,0.000,,0,0,0,0,2,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
26,source-acquisition,gallup-court-confidence-2024,U.S. Supreme Court,case-selection,missing,0,0.000,,0,0,0,0,1,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
27,source-acquisition,gallup-court-confidence-2024,U.S. Supreme Court,compliance,missing,0,0.000,,0,0,0,0,1,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
28,source-acquisition,gallup-court-confidence-2024,U.S. Supreme Court,doctrine-mix,missing,0,0.000,,0,0,0,0,1,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
29,source-acquisition,gallup-court-confidence-2024,U.S. Supreme Court,emergency,missing,0,0.000,,0,0,0,0,1,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
30,source-acquisition,gallup-court-confidence-2024,U.S. Supreme Court,merits,missing,0,0.000,,0,0,0,0,1,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
31,source-acquisition,germany-bverfg-2024,German Federal Constitutional Court,case-selection,missing,0,0.000,,0,0,0,0,2,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
32,source-acquisition,germany-bverfg-2024,German Federal Constitutional Court,compliance,missing,0,0.000,,0,0,0,0,1,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
33,source-acquisition,scdb-modern-merits-2000-2024,U.S. Supreme Court,case-selection,missing,0,0.000,,0,0,0,0,1,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
34,source-acquisition,scdb-modern-merits-2000-2024,U.S. Supreme Court,compliance,missing,0,0.000,,0,0,0,0,1,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
35,source-acquisition,scdb-modern-merits-2000-2024,U.S. Supreme Court,emergency,missing,0,0.000,,0,0,0,0,1,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
36,source-acquisition,scdb-modern-merits-2000-2024,U.S. Supreme Court,merits,missing,0,0.000,,0,0,0,0,1,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
37,source-acquisition,scotus-emergency-2024-2025,U.S. Supreme Court,case-selection,missing,0,0.000,,0,0,0,0,1,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
38,source-acquisition,scotus-emergency-2024-2025,U.S. Supreme Court,compliance,missing,0,0.000,,0,0,0,0,1,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
39,source-acquisition,scotus-emergency-2024-2025,U.S. Supreme Court,doctrine-mix,missing,0,0.000,,0,0,0,0,1,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
40,source-acquisition,scotus-emergency-2024-2025,U.S. Supreme Court,merits,missing,0,0.000,,0,0,0,0,1,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
41,source-acquisition,south-africa-constcourt-recent,Constitutional Court of South Africa,compliance,missing,0,0.000,,0,0,0,0,1,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
42,source-acquisition,south-africa-constcourt-recent,Constitutional Court of South Africa,remedy-timing,missing,0,0.000,,0,0,0,0,1,,,,,source-acquisition-needed,no registered source candidate,no candidate row is registered for this missing profile-family,collect denominator-backed source rows for this profile-family
43,candidate-verification,canada-scc-2024,Supreme Court of Canada,case-selection,missing,0,0.000,,2,2,0,0,0,config/research/comparative-calibration-source-candidates.csv,Post-leave hearing time,verified-context-only,verified:https://scc-csc.gc.ca/pdf/YIR_2024_EN.pdf,context-only-blocked,verified context but not validation evidence,candidate has a verified URL but is not a direct simulator analogue,keep as contextual evidence unless recoded to a direct simulator analogue
44,candidate-verification,canada-scc-2024,Supreme Court of Canada,emergency,missing,0,0.000,,1,1,0,0,0,config/research/comparative-calibration-source-candidates.csv,Merits nonunanimity rate,verified-context-only,verified:https://scc-csc.gc.ca/pdf/YIR_2024_EN.pdf,context-only-blocked,verified context but not validation evidence,candidate has a verified URL but is not a direct simulator analogue,keep as contextual evidence unless recoded to a direct simulator analogue
45,candidate-verification,canada-scc-recent,Supreme Court of Canada,merits,missing,0,0.000,,1,1,0,0,0,config/research/comparative-calibration-source-candidates.csv,Section 7 Charter claimant success context,verified-context-only,verified:https://macdonaldlaurier.ca/unprincipled-the-supreme-courts-expansion-of-fundamental-justice-under-section-7-of-the-charter-dave-snow/,context-only-blocked,verified context but not validation evidence,candidate has a verified URL but is not a direct simulator analogue,keep as contextual evidence unless recoded to a direct simulator analogue
