profile,context,responseVariant,scenario,weightDraws,leadershipCredit,leadershipShare
frozen-generator,emergencyPressure-high,no-response,constitutional-council,1000,0.0,0.0
frozen-generator,emergencyPressure-high,no-response,weak-form-no-response,1000,235.0,0.235
frozen-generator,rightsThreatRate-low,full-response,current-federal-court,1000,0.0,0.0
frozen-generator,rightsThreatRate-low,full-response,reasoned-emergency-review,1000,1.0,0.001
frozen-generator,rightsThreatRate-low,full-response,constitutional-council,1000,0.0,0.0
frozen-generator,rightsThreatRate-low,full-response,weak-form-review,1000,999.0,0.999
frozen-generator,rightsThreatRate-low,half-response,current-federal-court,1000,0.0,0.0
frozen-generator,rightsThreatRate-low,half-response,reasoned-emergency-review,1000,4.0,0.004
frozen-generator,rightsThreatRate-low,half-response,constitutional-council,1000,0.0,0.0
frozen-generator,rightsThreatRate-low,half-response,weak-form-half-response,1000,996.0,0.996
frozen-generator,rightsThreatRate-low,no-response,current-federal-court,1000,0.0,0.0
frozen-generator,rightsThreatRate-low,no-response,reasoned-emergency-review,1000,12.0,0.012
frozen-generator,rightsThreatRate-low,no-response,constitutional-council,1000,0.0,0.0
frozen-generator,rightsThreatRate-low,no-response,weak-form-no-response,1000,988.0,0.988
frozen-generator,rightsThreatRate-high,full-response,current-federal-court,1000,0.0,0.0
frozen-generator,rightsThreatRate-high,full-response,reasoned-emergency-review,1000,1.0,0.001
frozen-generator,rightsThreatRate-high,full-response,constitutional-council,1000,0.0,0.0
frozen-generator,rightsThreatRate-high,full-response,weak-form-review,1000,999.0,0.999
frozen-generator,rightsThreatRate-high,half-response,current-federal-court,1000,0.0,0.0
frozen-generator,rightsThreatRate-high,half-response,reasoned-emergency-review,1000,10.0,0.01
frozen-generator,rightsThreatRate-high,half-response,constitutional-council,1000,0.0,0.0
frozen-generator,rightsThreatRate-high,half-response,weak-form-half-response,1000,990.0,0.99
frozen-generator,rightsThreatRate-high,no-response,current-federal-court,1000,0.0,0.0
frozen-generator,rightsThreatRate-high,no-response,reasoned-emergency-review,1000,51.0,0.051
frozen-generator,rightsThreatRate-high,no-response,constitutional-council,1000,1.0,0.001
frozen-generator,rightsThreatRate-high,no-response,weak-form-no-response,1000,948.0,0.948
frozen-generator,appointmentPolarization-low,full-response,current-federal-court,1000,0.0,0.0
frozen-generator,appointmentPolarization-low,full-response,reasoned-emergency-review,1000,1.0,0.001
frozen-generator,appointmentPolarization-low,full-response,constitutional-council,1000,0.0,0.0
frozen-generator,appointmentPolarization-low,full-response,weak-form-review,1000,999.0,0.999
frozen-generator,appointmentPolarization-low,half-response,current-federal-court,1000,0.0,0.0
frozen-generator,appointmentPolarization-low,half-response,reasoned-emergency-review,1000,3.0,0.003
frozen-generator,appointmentPolarization-low,half-response,constitutional-council,1000,0.0,0.0
frozen-generator,appointmentPolarization-low,half-response,weak-form-half-response,1000,997.0,0.997
frozen-generator,appointmentPolarization-low,no-response,current-federal-court,1000,0.0,0.0
frozen-generator,appointmentPolarization-low,no-response,reasoned-emergency-review,1000,12.0,0.012
frozen-generator,appointmentPolarization-low,no-response,constitutional-council,1000,1.0,0.001
frozen-generator,appointmentPolarization-low,no-response,weak-form-no-response,1000,987.0,0.987
frozen-generator,appointmentPolarization-high,full-response,current-federal-court,1000,0.0,0.0
frozen-generator,appointmentPolarization-high,full-response,reasoned-emergency-review,1000,1.0,0.001
frozen-generator,appointmentPolarization-high,full-response,constitutional-council,1000,0.0,0.0
frozen-generator,appointmentPolarization-high,full-response,weak-form-review,1000,999.0,0.999
frozen-generator,appointmentPolarization-high,half-response,current-federal-court,1000,0.0,0.0
frozen-generator,appointmentPolarization-high,half-response,reasoned-emergency-review,1000,3.0,0.003
frozen-generator,appointmentPolarization-high,half-response,constitutional-council,1000,0.0,0.0
frozen-generator,appointmentPolarization-high,half-response,weak-form-half-response,1000,997.0,0.997
frozen-generator,appointmentPolarization-high,no-response,current-federal-court,1000,0.0,0.0
frozen-generator,appointmentPolarization-high,no-response,reasoned-emergency-review,1000,11.0,0.011
frozen-generator,appointmentPolarization-high,no-response,constitutional-council,1000,1.0,0.001
frozen-generator,appointmentPolarization-high,no-response,weak-form-no-response,1000,988.0,0.988
frozen-generator,legislativeConflict-low,full-response,current-federal-court,1000,0.0,0.0
frozen-generator,legislativeConflict-low,full-response,reasoned-emergency-review,1000,1.0,0.001
frozen-generator,legislativeConflict-low,full-response,constitutional-council,1000,0.0,0.0
frozen-generator,legislativeConflict-low,full-response,weak-form-review,1000,999.0,0.999
frozen-generator,legislativeConflict-low,half-response,current-federal-court,1000,0.0,0.0
frozen-generator,legislativeConflict-low,half-response,reasoned-emergency-review,1000,3.0,0.003
frozen-generator,legislativeConflict-low,half-response,constitutional-council,1000,0.0,0.0
frozen-generator,legislativeConflict-low,half-response,weak-form-half-response,1000,997.0,0.997
frozen-generator,legislativeConflict-low,no-response,current-federal-court,1000,0.0,0.0
frozen-generator,legislativeConflict-low,no-response,reasoned-emergency-review,1000,35.0,0.035
frozen-generator,legislativeConflict-low,no-response,constitutional-council,1000,1.0,0.001
frozen-generator,legislativeConflict-low,no-response,weak-form-no-response,1000,964.0,0.964
frozen-generator,legislativeConflict-high,full-response,current-federal-court,1000,0.0,0.0
frozen-generator,legislativeConflict-high,full-response,reasoned-emergency-review,1000,1.0,0.001
frozen-generator,legislativeConflict-high,full-response,constitutional-council,1000,0.0,0.0
frozen-generator,legislativeConflict-high,full-response,weak-form-review,1000,999.0,0.999
frozen-generator,legislativeConflict-high,half-response,current-federal-court,1000,0.0,0.0
frozen-generator,legislativeConflict-high,half-response,reasoned-emergency-review,1000,5.0,0.005
frozen-generator,legislativeConflict-high,half-response,constitutional-council,1000,0.0,0.0
frozen-generator,legislativeConflict-high,half-response,weak-form-half-response,1000,995.0,0.995
frozen-generator,legislativeConflict-high,no-response,current-federal-court,1000,0.0,0.0
frozen-generator,legislativeConflict-high,no-response,reasoned-emergency-review,1000,27.0,0.027
frozen-generator,legislativeConflict-high,no-response,constitutional-council,1000,1.0,0.001
frozen-generator,legislativeConflict-high,no-response,weak-form-no-response,1000,972.0,0.972
frozen-generator,implementationCapacity-low,full-response,current-federal-court,1000,0.0,0.0
frozen-generator,implementationCapacity-low,full-response,reasoned-emergency-review,1000,1.0,0.001
frozen-generator,implementationCapacity-low,full-response,constitutional-council,1000,0.0,0.0
frozen-generator,implementationCapacity-low,full-response,weak-form-review,1000,999.0,0.999
frozen-generator,implementationCapacity-low,half-response,current-federal-court,1000,0.0,0.0
frozen-generator,implementationCapacity-low,half-response,reasoned-emergency-review,1000,3.0,0.003
frozen-generator,implementationCapacity-low,half-response,constitutional-council,1000,0.0,0.0
frozen-generator,implementationCapacity-low,half-response,weak-form-half-response,1000,997.0,0.997
frozen-generator,implementationCapacity-low,no-response,current-federal-court,1000,0.0,0.0
frozen-generator,implementationCapacity-low,no-response,reasoned-emergency-review,1000,10.0,0.01
frozen-generator,implementationCapacity-low,no-response,constitutional-council,1000,1.0,0.001
frozen-generator,implementationCapacity-low,no-response,weak-form-no-response,1000,989.0,0.989
frozen-generator,implementationCapacity-high,full-response,current-federal-court,1000,0.0,0.0
frozen-generator,implementationCapacity-high,full-response,reasoned-emergency-review,1000,1.0,0.001
frozen-generator,implementationCapacity-high,full-response,constitutional-council,1000,0.0,0.0
frozen-generator,implementationCapacity-high,full-response,weak-form-review,1000,999.0,0.999
frozen-generator,implementationCapacity-high,half-response,current-federal-court,1000,0.0,0.0
frozen-generator,implementationCapacity-high,half-response,reasoned-emergency-review,1000,4.0,0.004
frozen-generator,implementationCapacity-high,half-response,constitutional-council,1000,0.0,0.0
frozen-generator,implementationCapacity-high,half-response,weak-form-half-response,1000,996.0,0.996
frozen-generator,implementationCapacity-high,no-response,current-federal-court,1000,0.0,0.0
frozen-generator,implementationCapacity-high,no-response,reasoned-emergency-review,1000,11.0,0.011
frozen-generator,implementationCapacity-high,no-response,constitutional-council,1000,1.0,0.001
frozen-generator,implementationCapacity-high,no-response,weak-form-no-response,1000,988.0,0.988
frozen-generator,partyFragmentation-low,full-response,current-federal-court,1000,0.0,0.0
frozen-generator,partyFragmentation-low,full-response,reasoned-emergency-review,1000,1.0,0.001
frozen-generator,partyFragmentation-low,full-response,constitutional-council,1000,0.0,0.0
frozen-generator,partyFragmentation-low,full-response,weak-form-review,1000,999.0,0.999
frozen-generator,partyFragmentation-low,half-response,current-federal-court,1000,0.0,0.0
frozen-generator,partyFragmentation-low,half-response,reasoned-emergency-review,1000,3.0,0.003
frozen-generator,partyFragmentation-low,half-response,constitutional-council,1000,0.0,0.0
frozen-generator,partyFragmentation-low,half-response,weak-form-half-response,1000,997.0,0.997
frozen-generator,partyFragmentation-low,no-response,current-federal-court,1000,0.0,0.0
frozen-generator,partyFragmentation-low,no-response,reasoned-emergency-review,1000,9.0,0.009
frozen-generator,partyFragmentation-low,no-response,constitutional-council,1000,1.0,0.001
frozen-generator,partyFragmentation-low,no-response,weak-form-no-response,1000,990.0,0.99
frozen-generator,partyFragmentation-high,full-response,current-federal-court,1000,0.0,0.0
frozen-generator,partyFragmentation-high,full-response,reasoned-emergency-review,1000,1.0,0.001
frozen-generator,partyFragmentation-high,full-response,constitutional-council,1000,0.0,0.0
frozen-generator,partyFragmentation-high,full-response,weak-form-review,1000,999.0,0.999
frozen-generator,partyFragmentation-high,half-response,current-federal-court,1000,0.0,0.0
frozen-generator,partyFragmentation-high,half-response,reasoned-emergency-review,1000,3.0,0.003
frozen-generator,partyFragmentation-high,half-response,constitutional-council,1000,0.0,0.0
frozen-generator,partyFragmentation-high,half-response,weak-form-half-response,1000,997.0,0.997
frozen-generator,partyFragmentation-high,no-response,current-federal-court,1000,0.0,0.0
frozen-generator,partyFragmentation-high,no-response,reasoned-emergency-review,1000,9.0,0.009
frozen-generator,partyFragmentation-high,no-response,constitutional-council,1000,2.0,0.002
frozen-generator,partyFragmentation-high,no-response,weak-form-no-response,1000,989.0,0.989
recency-weighted-15y,baseline,full-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,baseline,full-response,reasoned-emergency-review,1000,1.0,0.001
recency-weighted-15y,baseline,full-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,baseline,full-response,weak-form-review,1000,999.0,0.999
recency-weighted-15y,baseline,half-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,baseline,half-response,reasoned-emergency-review,1000,4.0,0.004
recency-weighted-15y,baseline,half-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,baseline,half-response,weak-form-half-response,1000,996.0,0.996
recency-weighted-15y,baseline,no-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,baseline,no-response,reasoned-emergency-review,1000,12.0,0.012
recency-weighted-15y,baseline,no-response,constitutional-council,1000,2.0,0.002
recency-weighted-15y,baseline,no-response,weak-form-no-response,1000,986.0,0.986
recency-weighted-15y,emergencyPressure-low,full-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,emergencyPressure-low,full-response,reasoned-emergency-review,1000,0.0,0.0
recency-weighted-15y,emergencyPressure-low,full-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,emergencyPressure-low,full-response,weak-form-review,1000,1000.0,1.0
recency-weighted-15y,emergencyPressure-low,half-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,emergencyPressure-low,half-response,reasoned-emergency-review,1000,0.0,0.0
recency-weighted-15y,emergencyPressure-low,half-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,emergencyPressure-low,half-response,weak-form-half-response,1000,1000.0,1.0
recency-weighted-15y,emergencyPressure-low,no-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,emergencyPressure-low,no-response,reasoned-emergency-review,1000,0.0,0.0
recency-weighted-15y,emergencyPressure-low,no-response,constitutional-council,1000,3.0,0.003
recency-weighted-15y,emergencyPressure-low,no-response,weak-form-no-response,1000,997.0,0.997
recency-weighted-15y,emergencyPressure-high,full-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,emergencyPressure-high,full-response,reasoned-emergency-review,1000,639.0,0.639
recency-weighted-15y,emergencyPressure-high,full-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,emergencyPressure-high,full-response,weak-form-review,1000,361.0,0.361
recency-weighted-15y,emergencyPressure-high,half-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,emergencyPressure-high,half-response,reasoned-emergency-review,1000,696.0,0.696
recency-weighted-15y,emergencyPressure-high,half-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,emergencyPressure-high,half-response,weak-form-half-response,1000,304.0,0.304
recency-weighted-15y,emergencyPressure-high,no-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,emergencyPressure-high,no-response,reasoned-emergency-review,1000,759.0,0.759
recency-weighted-15y,emergencyPressure-high,no-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,emergencyPressure-high,no-response,weak-form-no-response,1000,241.0,0.241
recency-weighted-15y,rightsThreatRate-low,full-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,rightsThreatRate-low,full-response,reasoned-emergency-review,1000,1.0,0.001
recency-weighted-15y,rightsThreatRate-low,full-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,rightsThreatRate-low,full-response,weak-form-review,1000,999.0,0.999
recency-weighted-15y,rightsThreatRate-low,half-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,rightsThreatRate-low,half-response,reasoned-emergency-review,1000,4.0,0.004
recency-weighted-15y,rightsThreatRate-low,half-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,rightsThreatRate-low,half-response,weak-form-half-response,1000,996.0,0.996
recency-weighted-15y,rightsThreatRate-low,no-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,rightsThreatRate-low,no-response,reasoned-emergency-review,1000,14.0,0.014
recency-weighted-15y,rightsThreatRate-low,no-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,rightsThreatRate-low,no-response,weak-form-no-response,1000,986.0,0.986
recency-weighted-15y,rightsThreatRate-high,full-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,rightsThreatRate-high,full-response,reasoned-emergency-review,1000,1.0,0.001
recency-weighted-15y,rightsThreatRate-high,full-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,rightsThreatRate-high,full-response,weak-form-review,1000,999.0,0.999
recency-weighted-15y,rightsThreatRate-high,half-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,rightsThreatRate-high,half-response,reasoned-emergency-review,1000,8.0,0.008
recency-weighted-15y,rightsThreatRate-high,half-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,rightsThreatRate-high,half-response,weak-form-half-response,1000,992.0,0.992
recency-weighted-15y,rightsThreatRate-high,no-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,rightsThreatRate-high,no-response,reasoned-emergency-review,1000,42.0,0.042
recency-weighted-15y,rightsThreatRate-high,no-response,constitutional-council,1000,1.0,0.001
recency-weighted-15y,rightsThreatRate-high,no-response,weak-form-no-response,1000,957.0,0.957
recency-weighted-15y,appointmentPolarization-low,full-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,appointmentPolarization-low,full-response,reasoned-emergency-review,1000,1.0,0.001
recency-weighted-15y,appointmentPolarization-low,full-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,appointmentPolarization-low,full-response,weak-form-review,1000,999.0,0.999
recency-weighted-15y,appointmentPolarization-low,half-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,appointmentPolarization-low,half-response,reasoned-emergency-review,1000,3.0,0.003
recency-weighted-15y,appointmentPolarization-low,half-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,appointmentPolarization-low,half-response,weak-form-half-response,1000,997.0,0.997
recency-weighted-15y,appointmentPolarization-low,no-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,appointmentPolarization-low,no-response,reasoned-emergency-review,1000,12.0,0.012
recency-weighted-15y,appointmentPolarization-low,no-response,constitutional-council,1000,1.0,0.001
recency-weighted-15y,appointmentPolarization-low,no-response,weak-form-no-response,1000,987.0,0.987
recency-weighted-15y,appointmentPolarization-high,full-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,appointmentPolarization-high,full-response,reasoned-emergency-review,1000,1.0,0.001
recency-weighted-15y,appointmentPolarization-high,full-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,appointmentPolarization-high,full-response,weak-form-review,1000,999.0,0.999
recency-weighted-15y,appointmentPolarization-high,half-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,appointmentPolarization-high,half-response,reasoned-emergency-review,1000,3.0,0.003
recency-weighted-15y,appointmentPolarization-high,half-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,appointmentPolarization-high,half-response,weak-form-half-response,1000,997.0,0.997
recency-weighted-15y,appointmentPolarization-high,no-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,appointmentPolarization-high,no-response,reasoned-emergency-review,1000,10.0,0.01
recency-weighted-15y,appointmentPolarization-high,no-response,constitutional-council,1000,1.0,0.001
recency-weighted-15y,appointmentPolarization-high,no-response,weak-form-no-response,1000,989.0,0.989
recency-weighted-15y,legislativeConflict-low,full-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,legislativeConflict-low,full-response,reasoned-emergency-review,1000,1.0,0.001
recency-weighted-15y,legislativeConflict-low,full-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,legislativeConflict-low,full-response,weak-form-review,1000,999.0,0.999
recency-weighted-15y,legislativeConflict-low,half-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,legislativeConflict-low,half-response,reasoned-emergency-review,1000,6.0,0.006
recency-weighted-15y,legislativeConflict-low,half-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,legislativeConflict-low,half-response,weak-form-half-response,1000,994.0,0.994
recency-weighted-15y,legislativeConflict-low,no-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,legislativeConflict-low,no-response,reasoned-emergency-review,1000,36.0,0.036
recency-weighted-15y,legislativeConflict-low,no-response,constitutional-council,1000,1.0,0.001
recency-weighted-15y,legislativeConflict-low,no-response,weak-form-no-response,1000,963.0,0.963
recency-weighted-15y,legislativeConflict-high,full-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,legislativeConflict-high,full-response,reasoned-emergency-review,1000,1.0,0.001
recency-weighted-15y,legislativeConflict-high,full-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,legislativeConflict-high,full-response,weak-form-review,1000,999.0,0.999
recency-weighted-15y,legislativeConflict-high,half-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,legislativeConflict-high,half-response,reasoned-emergency-review,1000,4.0,0.004
recency-weighted-15y,legislativeConflict-high,half-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,legislativeConflict-high,half-response,weak-form-half-response,1000,996.0,0.996
recency-weighted-15y,legislativeConflict-high,no-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,legislativeConflict-high,no-response,reasoned-emergency-review,1000,22.0,0.022
recency-weighted-15y,legislativeConflict-high,no-response,constitutional-council,1000,1.0,0.001
recency-weighted-15y,legislativeConflict-high,no-response,weak-form-no-response,1000,977.0,0.977
recency-weighted-15y,implementationCapacity-low,full-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,implementationCapacity-low,full-response,reasoned-emergency-review,1000,1.0,0.001
recency-weighted-15y,implementationCapacity-low,full-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,implementationCapacity-low,full-response,weak-form-review,1000,999.0,0.999
recency-weighted-15y,implementationCapacity-low,half-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,implementationCapacity-low,half-response,reasoned-emergency-review,1000,3.0,0.003
recency-weighted-15y,implementationCapacity-low,half-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,implementationCapacity-low,half-response,weak-form-half-response,1000,997.0,0.997
recency-weighted-15y,implementationCapacity-low,no-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,implementationCapacity-low,no-response,reasoned-emergency-review,1000,10.0,0.01
recency-weighted-15y,implementationCapacity-low,no-response,constitutional-council,1000,1.0,0.001
recency-weighted-15y,implementationCapacity-low,no-response,weak-form-no-response,1000,989.0,0.989
recency-weighted-15y,implementationCapacity-high,full-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,implementationCapacity-high,full-response,reasoned-emergency-review,1000,1.0,0.001
recency-weighted-15y,implementationCapacity-high,full-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,implementationCapacity-high,full-response,weak-form-review,1000,999.0,0.999
recency-weighted-15y,implementationCapacity-high,half-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,implementationCapacity-high,half-response,reasoned-emergency-review,1000,4.0,0.004
recency-weighted-15y,implementationCapacity-high,half-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,implementationCapacity-high,half-response,weak-form-half-response,1000,996.0,0.996
recency-weighted-15y,implementationCapacity-high,no-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,implementationCapacity-high,no-response,reasoned-emergency-review,1000,12.0,0.012
recency-weighted-15y,implementationCapacity-high,no-response,constitutional-council,1000,1.0,0.001
recency-weighted-15y,implementationCapacity-high,no-response,weak-form-no-response,1000,987.0,0.987
recency-weighted-15y,partyFragmentation-low,full-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,partyFragmentation-low,full-response,reasoned-emergency-review,1000,1.0,0.001
recency-weighted-15y,partyFragmentation-low,full-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,partyFragmentation-low,full-response,weak-form-review,1000,999.0,0.999
recency-weighted-15y,partyFragmentation-low,half-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,partyFragmentation-low,half-response,reasoned-emergency-review,1000,4.0,0.004
recency-weighted-15y,partyFragmentation-low,half-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,partyFragmentation-low,half-response,weak-form-half-response,1000,996.0,0.996
recency-weighted-15y,partyFragmentation-low,no-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,partyFragmentation-low,no-response,reasoned-emergency-review,1000,11.0,0.011
recency-weighted-15y,partyFragmentation-low,no-response,constitutional-council,1000,1.0,0.001
recency-weighted-15y,partyFragmentation-low,no-response,weak-form-no-response,1000,988.0,0.988
recency-weighted-15y,partyFragmentation-high,full-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,partyFragmentation-high,full-response,reasoned-emergency-review,1000,1.0,0.001
recency-weighted-15y,partyFragmentation-high,full-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,partyFragmentation-high,full-response,weak-form-review,1000,999.0,0.999
recency-weighted-15y,partyFragmentation-high,half-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,partyFragmentation-high,half-response,reasoned-emergency-review,1000,4.0,0.004
recency-weighted-15y,partyFragmentation-high,half-response,constitutional-council,1000,0.0,0.0
recency-weighted-15y,partyFragmentation-high,half-response,weak-form-half-response,1000,996.0,0.996
recency-weighted-15y,partyFragmentation-high,no-response,current-federal-court,1000,0.0,0.0
recency-weighted-15y,partyFragmentation-high,no-response,reasoned-emergency-review,1000,11.0,0.011
recency-weighted-15y,partyFragmentation-high,no-response,constitutional-council,1000,2.0,0.002
recency-weighted-15y,partyFragmentation-high,no-response,weak-form-no-response,1000,987.0,0.987
expanding-history,baseline,full-response,current-federal-court,1000,0.0,0.0
expanding-history,baseline,full-response,reasoned-emergency-review,1000,1.0,0.001
expanding-history,baseline,full-response,constitutional-council,1000,0.0,0.0
expanding-history,baseline,full-response,weak-form-review,1000,999.0,0.999
expanding-history,baseline,half-response,current-federal-court,1000,0.0,0.0
expanding-history,baseline,half-response,reasoned-emergency-review,1000,3.0,0.003
expanding-history,baseline,half-response,constitutional-council,1000,0.0,0.0
expanding-history,baseline,half-response,weak-form-half-response,1000,997.0,0.997
expanding-history,baseline,no-response,current-federal-court,1000,0.0,0.0
expanding-history,baseline,no-response,reasoned-emergency-review,1000,9.0,0.009
expanding-history,baseline,no-response,constitutional-council,1000,2.0,0.002
expanding-history,baseline,no-response,weak-form-no-response,1000,989.0,0.989
expanding-history,emergencyPressure-low,full-response,current-federal-court,1000,0.0,0.0
expanding-history,emergencyPressure-low,full-response,reasoned-emergency-review,1000,0.0,0.0
expanding-history,emergencyPressure-low,full-response,constitutional-council,1000,0.0,0.0
expanding-history,emergencyPressure-low,full-response,weak-form-review,1000,1000.0,1.0
expanding-history,emergencyPressure-low,half-response,current-federal-court,1000,0.0,0.0
expanding-history,emergencyPressure-low,half-response,reasoned-emergency-review,1000,0.0,0.0
expanding-history,emergencyPressure-low,half-response,constitutional-council,1000,0.0,0.0
expanding-history,emergencyPressure-low,half-response,weak-form-half-response,1000,1000.0,1.0
expanding-history,emergencyPressure-low,no-response,current-federal-court,1000,0.0,0.0
expanding-history,emergencyPressure-low,no-response,reasoned-emergency-review,1000,0.0,0.0
expanding-history,emergencyPressure-low,no-response,constitutional-council,1000,4.0,0.004
expanding-history,emergencyPressure-low,no-response,weak-form-no-response,1000,996.0,0.996
expanding-history,emergencyPressure-high,full-response,current-federal-court,1000,0.0,0.0
